Sun Dec  5 17:57:04 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   38C    P0    27W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction 2 - Time 25.159276247024536
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction 2 - Time 19.669840574264526
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction 2 - Time 19.11327838897705
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction 2 - Time 19.504161596298218
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction 2 - Time 20.03350591659546
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction 2 - Time 20.142067193984985
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction 2 - Time 21.761209964752197
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction 0 - Time 21.155991315841675
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction 2 - Time 20.834574460983276
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction 2 - Time 21.069341897964478
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000018-55212-0.png - Prediction 2 - Time 20.132295846939087
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-50888-0.png - Prediction 2 - Time 19.50569725036621
Rank 0 - Image MIDRC-RICORD-1C-419639-001288-10277-0.png - Prediction 2 - Time 19.402047157287598
Rank 0 - Image MIDRC-RICORD-1C-419639-002757-16718-0.png - Prediction 2 - Time 21.097938299179077
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000135-64564-1.png - Prediction 2 - Time 19.53140354156494
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000147-13199-0.png - Prediction 2 - Time 19.620221376419067
Rank 0 - Image MIDRC-RICORD-1C-419639-002601-92699-0.png - Prediction 2 - Time 20.014933586120605
Rank 0 - Image MIDRC-RICORD-1C-419639-002310-52924-0.png - Prediction 2 - Time 19.226526737213135
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000171-45676-0.png - Prediction 2 - Time 20.758495330810547
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-56001-0.png - Prediction 2 - Time 20.290079355239868
Rank 0 - Image MIDRC-RICORD-1C-419639-003340-85716-0.png - Prediction 2 - Time 19.1388418674469
Rank 0 - Image MIDRC-RICORD-1C-419639-003257-00787-0.png - Prediction 2 - Time 20.22016215324402
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000099-22857-0.png - Prediction 2 - Time 20.833351135253906
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000155-37671-0.png - Prediction 2 - Time 20.079703330993652
Rank 0 - Image MIDRC-RICORD-1C-419639-000235-89929-0.png - Prediction 2 - Time 19.536014556884766
Rank 0 - Image MIDRC-RICORD-1C-419639-002376-07504-0.png - Prediction 2 - Time 19.828943014144897
Rank 0 - Image MIDRC-RICORD-1C-419639-001433-28259-0.png - Prediction 2 - Time 19.560909032821655
Rank 0 - Image MIDRC-RICORD-1C-419639-003116-57702-0.png - Prediction 2 - Time 20.074788808822632
Rank 0 - Image MIDRC-RICORD-1C-419639-001629-03737-0.png - Prediction 2 - Time 20.54063844680786
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000211-85940-0.png - Prediction 2 - Time 19.530932426452637
Rank 0 - Image MIDRC-RICORD-1C-419639-003027-36839-0.png - Prediction 2 - Time 20.083577632904053
Rank 0 - Image MIDRC-RICORD-1C-419639-003021-81745-0.png - Prediction 2 - Time 20.57874345779419
Rank 0 - Image MIDRC-RICORD-1C-419639-003024-14703-0.png - Prediction 2 - Time 20.40192437171936
Rank 0 - Image MIDRC-RICORD-1C-419639-002724-03387-0.png - Prediction 2 - Time 21.268590688705444
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-32013-0.png - Prediction 2 - Time 20.91998529434204
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000116-25889-1.png - Prediction 2 - Time 20.336127758026123
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000229-76177-0.png - Prediction 2 - Time 21.039361238479614
Rank 0 - Image MIDRC-RICORD-1C-419639-001222-46073-0.png - Prediction 2 - Time 19.829174995422363
Rank 0 - Image MIDRC-RICORD-1C-419639-003360-73998-0.png - Prediction 2 - Time 20.292189836502075
Rank 0 - Image MIDRC-RICORD-1C-419639-003334-51353-0.png - Prediction 2 - Time 19.87228775024414
Rank 0 - Image MIDRC-RICORD-1C-419639-000538-40522-0.png - Prediction 2 - Time 20.354259967803955
Rank 0 - Image MIDRC-RICORD-1C-419639-001735-74702-0.png - Prediction 2 - Time 20.690659284591675
Rank 0 - Image MIDRC-RICORD-1C-419639-000299-56159-0.png - Prediction 2 - Time 21.630841732025146
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000178-89752-0.png - Prediction 2 - Time 21.16734480857849
Rank 0 - Image MIDRC-RICORD-1C-419639-001287-60951-0.png - Prediction 2 - Time 20.173829555511475
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000182-35476-0.png - Prediction 2 - Time 21.247342348098755
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-17477-0.png - Prediction 2 - Time 19.95480751991272
Rank 0 - Image MIDRC-RICORD-1C-419639-002528-57471-0.png - Prediction 2 - Time 20.78920555114746
Rank 0 - Image MIDRC-RICORD-1C-419639-001932-82193-0.png - Prediction 2 - Time 19.73455309867859
Rank 0 - Image MIDRC-RICORD-1C-419639-000002-10161-0.png - Prediction 2 - Time 20.24678611755371
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-72163-0.png - Prediction 2 - Time 19.32170796394348
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000239-21655-0.png - Prediction 2 - Time 20.4436514377594
Rank 0 - Image MIDRC-RICORD-1C-419639-003371-97350-0.png - Prediction 2 - Time 19.761375665664673
Rank 0 - Image MIDRC-RICORD-1C-419639-000432-86017-0.png - Prediction 2 - Time 20.63567018508911
Rank 0 - Image MIDRC-RICORD-1C-419639-001007-89903-0.png - Prediction 2 - Time 21.02499032020569
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-1.png - Prediction 2 - Time 19.933642864227295
Rank 0 - Image MIDRC-RICORD-1C-419639-002374-98411-0.png - Prediction 2 - Time 20.676945447921753
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000028-53390-0.png - Prediction 2 - Time 20.83208990097046
Rank 0 - Image MIDRC-RICORD-1C-419639-001070-42385-0.png - Prediction 2 - Time 19.691338777542114
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000283-41971-0.png - Prediction 2 - Time 20.196722745895386
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000023-20254-0.png - Prediction 2 - Time 20.744304418563843
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000181-63935-0.png - Prediction 2 - Time 20.740658283233643
Rank 0 - Image MIDRC-RICORD-1C-419639-003105-50900-0.png - Prediction 2 - Time 20.280731678009033
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000185-39456-0.png - Prediction 2 - Time 21.045594215393066
Rank 0 - Image MIDRC-RICORD-1C-419639-003187-73922-0.png - Prediction 2 - Time 21.52304196357727
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000066-97290-0.png - Prediction 2 - Time 21.389838695526123
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000105-65881-0.png - Prediction 2 - Time 20.56255531311035
Rank 0 - Image MIDRC-RICORD-1C-419639-003080-09097-0.png - Prediction 2 - Time 20.109023809432983
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000230-35167-0.png - Prediction 2 - Time 20.5753014087677
Rank 0 - Image MIDRC-RICORD-1C-419639-003365-72952-0.png - Prediction 2 - Time 20.823652267456055
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000208-34584-0.png - Prediction 2 - Time 19.37826442718506
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-53024-0.png - Prediction 2 - Time 21.349019765853882
Rank 0 - Image MIDRC-RICORD-1C-419639-003157-67493-0.png - Prediction 2 - Time 21.230754137039185
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000048-66689-0.png - Prediction 2 - Time 20.25057077407837
Rank 0 - Image MIDRC-RICORD-1C-440808-000020-8.458-0.png - Prediction 2 - Time 20.328160524368286
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000034-76728-1.png - Prediction 2 - Time 21.476699590682983
Rank 0 - Image MIDRC-RICORD-1C-419639-002784-76664-0.png - Prediction 0 - Time 20.4911687374115
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000014-81802-0.png - Prediction 2 - Time 20.909430265426636
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000068-39061-0.png - Prediction 2 - Time 20.8169686794281
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-84235-0.png - Prediction 2 - Time 21.59022569656372
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000001-16794-0.png - Prediction 2 - Time 20.267693519592285
Rank 0 - Image MIDRC-RICORD-1C-419639-001571-15270-0.png - Prediction 2 - Time 20.32420825958252
Rank 0 - Image MIDRC-RICORD-1C-419639-001903-65209-0.png - Prediction 2 - Time 19.63232421875
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000244-77429-0.png - Prediction 2 - Time 20.325855016708374
Rank 0 - Image MIDRC-RICORD-1C-419639-000582-21506-0.png - Prediction 2 - Time 19.739665508270264
Rank 0 - Image MIDRC-RICORD-1C-419639-002088-09388-0.png - Prediction 2 - Time 20.150258779525757
Rank 0 - Image MIDRC-RICORD-1C-419639-002050-25234-0.png - Prediction 2 - Time 20.294193029403687
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000235-44451-0.png - Prediction 2 - Time 20.003291606903076
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000202-80939-0.png - Prediction 2 - Time 20.280619144439697
Rank 0 - Image MIDRC-RICORD-1C-419639-003203-21209-0.png - Prediction 0 - Time 20.223327159881592
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-90087-1.png - Prediction 2 - Time 20.521009922027588
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000136-21646-0.png - Prediction 2 - Time 19.696327924728394
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000153-84142-0.png - Prediction 2 - Time 20.668562412261963
Rank 0 - Image MIDRC-RICORD-1C-419639-003216-61144-0.png - Prediction 2 - Time 19.510209321975708
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-60601-0.png - Prediction 2 - Time 20.642048835754395
Rank 0 - Image MIDRC-RICORD-1C-419639-003380-99227-0.png - Prediction 2 - Time 20.850287437438965
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000272-41527-0.png - Prediction 2 - Time 20.504794120788574
Rank 0 - Image MIDRC-RICORD-1C-419639-003338-57135-0.png - Prediction 2 - Time 20.062219619750977
Rank 0 - Image MIDRC-RICORD-1C-419639-003060-04928-0.png - Prediction 2 - Time 20.37373399734497
Rank 0 - Image MIDRC-RICORD-1C-419639-002889-42412-0.png - Prediction 2 - Time 19.747947931289673
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000106-15732-0.png - Prediction 2 - Time 20.104841232299805
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000297-71173-1.png - Prediction 2 - Time 19.641411542892456
