Tue Nov 30 09:53:37 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   37C    P0    27W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 3 - Image bd8facb9-dce0-4048-8249-e6078b28e1b7.png - Prediction pneumonia
Rank 2 - Image 47c78742-4998-4878-aec4-37b11b1354ac.png - Prediction normal
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000106-15732-0.png - Prediction COVID-19
Rank 3 - Image 4dbc44ca-694a-4814-9a24-bc60c8d8d611.png - Prediction pneumonia
Rank 2 - Image 8989e25c-a698-48fc-b428-fff56931fc8f.png - Prediction normal
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000297-71173-1.png - Prediction COVID-19
Rank 3 - Image 3f504abe-2133-4e09-98af-743cdea486f9.png - Prediction pneumonia
Rank 2 - Image 7fb3786c-5045-4a90-981d-c55b53d4d5d3.png - Prediction normal
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction COVID-19
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000204-24409-0.png - Prediction COVID-19
Rank 3 - Image af169d21-1c39-445e-82d8-5035182a3a8c.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction COVID-19
Rank 2 - Image 766b8aea-3b43-4a34-b675-09f373ca066b.png - Prediction normal
Rank 1 - Image MIDRC-RICORD-1C-419639-001464-82193-0.png - Prediction COVID-19
Rank 3 - Image fcd159f4-21d3-4169-a94b-95a2b5ccddcb.png - Prediction pneumonia
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction COVID-19
Rank 2 - Image f6236cb5-cc36-4ec4-895c-d11ce043341d.png - Prediction normal
