Tue Nov 30 10:04:47 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   37C    P0    27W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 1 - Image 47c78742-4998-4878-aec4-37b11b1354ac.png - Prediction normal - Time 24.950084924697876
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction COVID-19 - Time 25.113044261932373
Rank 1 - Image 8989e25c-a698-48fc-b428-fff56931fc8f.png - Prediction normal - Time 19.606160879135132
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction COVID-19 - Time 19.696179628372192
Rank 1 - Image 7fb3786c-5045-4a90-981d-c55b53d4d5d3.png - Prediction normal - Time 19.02248477935791
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction COVID-19 - Time 21.136857271194458
Rank 1 - Image 766b8aea-3b43-4a34-b675-09f373ca066b.png - Prediction normal - Time 21.046719074249268
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction COVID-19 - Time 21.57876992225647
Rank 1 - Image f6236cb5-cc36-4ec4-895c-d11ce043341d.png - Prediction normal - Time 19.305619716644287
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction COVID-19 - Time 20.691864013671875
Rank 1 - Image 153b7c2b-4909-4dca-8579-9523582bc4fe.png - Prediction normal - Time 20.441506385803223
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction COVID-19 - Time 20.75533676147461
Rank 1 - Image 1afd6582-da9d-4e5a-a81f-62a188fe9366.png - Prediction normal - Time 21.321046352386475
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction COVID-19 - Time 20.56875967979431
Rank 1 - Image 85bb48fe-e6d6-47de-bb71-d1636aced7dc.png - Prediction normal - Time 20.489436626434326
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction normal - Time 19.574540615081787
Rank 1 - Image eaeb935a-7294-4dd3-8bf5-73ba781d28af.png - Prediction normal - Time 20.40762495994568
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction COVID-19 - Time 20.760640144348145
Rank 1 - Image 5f137fa7-6539-499e-b0d5-0e481221bf5a.png - Prediction pneumonia - Time 21.06246066093445
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction COVID-19 - Time 19.9968843460083
Rank 1 - Image b5234584-1487-492c-8742-444b9ca41c3d.png - Prediction normal - Time 20.071847915649414
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000018-55212-0.png - Prediction COVID-19 - Time 20.80743980407715
Rank 1 - Image 71d8d6ec-253b-4272-a467-311828b2a35b.png - Prediction normal - Time 20.440731525421143
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-50888-0.png - Prediction COVID-19 - Time 20.716327905654907
Rank 1 - Image 0103fadb-1663-40a6-8a9e-09d626cd2091.png - Prediction normal - Time 20.512518405914307
Rank 0 - Image MIDRC-RICORD-1C-419639-001288-10277-0.png - Prediction COVID-19 - Time 21.894577980041504
Rank 1 - Image e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png - Prediction normal - Time 20.4899582862854
Rank 0 - Image MIDRC-RICORD-1C-419639-002757-16718-0.png - Prediction COVID-19 - Time 19.735143661499023
Rank 1 - Image 2f8fbfdc-56db-4eca-bf64-3c9a0637e28c.png - Prediction normal - Time 21.021806955337524
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000135-64564-1.png - Prediction COVID-19 - Time 20.462042331695557
Rank 1 - Image bc46651a-1314-44af-a834-1eb8a36e589e.png - Prediction normal - Time 21.231322526931763
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000147-13199-0.png - Prediction COVID-19 - Time 21.309040546417236
Rank 1 - Image 71d25920-4060-4a31-b7aa-cfbf4721a5c5.png - Prediction normal - Time 20.854308128356934
Rank 0 - Image MIDRC-RICORD-1C-419639-002601-92699-0.png - Prediction COVID-19 - Time 20.788779258728027
Rank 1 - Image ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png - Prediction normal - Time 21.22365975379944
Rank 0 - Image MIDRC-RICORD-1C-419639-002310-52924-0.png - Prediction COVID-19 - Time 20.761902332305908
Rank 1 - Image dab2f334-331c-42c7-af09-a997092464b0.png - Prediction pneumonia - Time 20.059648513793945
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000171-45676-0.png - Prediction COVID-19 - Time 20.808105945587158
Rank 1 - Image 436dce2a-06c3-4281-bb8e-840497a49381.png - Prediction pneumonia - Time 20.30751919746399
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-56001-0.png - Prediction COVID-19 - Time 20.566965341567993
Rank 1 - Image af6ef3d9-81c8-434e-bc5a-dbf89bc418aa.png - Prediction normal - Time 19.9541335105896
Rank 0 - Image MIDRC-RICORD-1C-419639-003340-85716-0.png - Prediction COVID-19 - Time 20.434638738632202
Rank 1 - Image a7aef71b-0fc8-4837-be79-4ced56e03439.png - Prediction normal - Time 20.20311665534973
Rank 0 - Image MIDRC-RICORD-1C-419639-003257-00787-0.png - Prediction COVID-19 - Time 20.286706924438477
Rank 1 - Image dfa57c1f-01fb-4417-a1b5-0641a9b4bb84.png - Prediction normal - Time 20.441078186035156
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000099-22857-0.png - Prediction COVID-19 - Time 20.220274925231934
Rank 1 - Image 5eb932e2-3455-40fe-93db-ae44f897d9e0.png - Prediction normal - Time 20.443937063217163
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000155-37671-0.png - Prediction COVID-19 - Time 21.118185997009277
Rank 1 - Image e8485b0f-293d-4ca8-8b71-92db61c8ee3e.png - Prediction normal - Time 20.146054983139038
Rank 0 - Image MIDRC-RICORD-1C-419639-000235-89929-0.png - Prediction COVID-19 - Time 21.626203536987305
Rank 1 - Image 35cda03a-0898-4f8b-92d3-6f263aed23ff.png - Prediction normal - Time 20.483070611953735
Rank 0 - Image MIDRC-RICORD-1C-419639-002376-07504-0.png - Prediction COVID-19 - Time 20.381248235702515
Rank 1 - Image d82e5841-2f43-4eab-ac17-e98a2d90c51b.png - Prediction normal - Time 20.329391479492188
Rank 0 - Image MIDRC-RICORD-1C-419639-001433-28259-0.png - Prediction COVID-19 - Time 19.99183464050293
Rank 1 - Image af1d168c-4850-41e1-85b8-ff8fc645e671.png - Prediction normal - Time 21.010162115097046
Rank 0 - Image MIDRC-RICORD-1C-419639-003116-57702-0.png - Prediction COVID-19 - Time 20.845893383026123
Rank 1 - Image 585f5059-8938-4885-accb-d7d0b1097c60.png - Prediction normal - Time 19.8618061542511
Rank 0 - Image MIDRC-RICORD-1C-419639-001629-03737-0.png - Prediction COVID-19 - Time 20.701642513275146
Rank 1 - Image 5d4c7318-4739-4470-89f3-70bbbca95f10.png - Prediction normal - Time 20.30075979232788
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000211-85940-0.png - Prediction COVID-19 - Time 20.635318279266357
Rank 1 - Image d3ad2915-af30-426c-ad2d-1634df8c1b5f.png - Prediction normal - Time 20.774966955184937
Rank 0 - Image MIDRC-RICORD-1C-419639-003027-36839-0.png - Prediction COVID-19 - Time 21.59303379058838
Rank 1 - Image dee054ff-0e1a-4167-b814-cbf339cf689c.png - Prediction normal - Time 20.199610710144043
Rank 0 - Image MIDRC-RICORD-1C-419639-003021-81745-0.png - Prediction COVID-19 - Time 20.695289850234985
Rank 1 - Image bb068d57-86a8-4347-bee0-e29d59ddef6b.png - Prediction normal - Time 20.447954177856445
Rank 0 - Image MIDRC-RICORD-1C-419639-003024-14703-0.png - Prediction COVID-19 - Time 21.073471307754517
Rank 1 - Image 354c3756-43ed-4921-adf8-60be49a8b7e8.png - Prediction normal - Time 20.50676679611206
Rank 0 - Image MIDRC-RICORD-1C-419639-002724-03387-0.png - Prediction COVID-19 - Time 21.006360054016113
Rank 1 - Image b8dd7d32-b177-4d1e-982f-6f0a743828fa.png - Prediction normal - Time 20.44428849220276
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-32013-0.png - Prediction COVID-19 - Time 20.86066460609436
Rank 1 - Image a17f7e03-42a6-41d3-82ad-d8a656826936.png - Prediction normal - Time 20.441478729248047
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000116-25889-1.png - Prediction COVID-19 - Time 20.166980981826782
Rank 1 - Image c3c78e4e-1a31-4a92-be4b-0fc3c7f992a4.png - Prediction normal - Time 20.503089666366577
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000229-76177-0.png - Prediction COVID-19 - Time 19.850226879119873
Rank 1 - Image f1c8caa2-a6dc-40c0-ab85-4769688f1eec.png - Prediction normal - Time 20.924408674240112
Rank 0 - Image MIDRC-RICORD-1C-419639-001222-46073-0.png - Prediction COVID-19 - Time 20.78740906715393
Rank 1 - Image d535a3c8-c4a4-4856-b5cd-17f6332eac8b.png - Prediction normal - Time 20.265902042388916
Rank 0 - Image MIDRC-RICORD-1C-419639-003360-73998-0.png - Prediction COVID-19 - Time 20.22769856452942
Rank 1 - Image 2ed06be4-9f0e-4256-b8bf-a4b396cc6364.png - Prediction normal - Time 20.914164781570435
Rank 0 - Image MIDRC-RICORD-1C-419639-003334-51353-0.png - Prediction COVID-19 - Time 19.683777809143066
Rank 1 - Image 168f4fcb-a87d-49fc-b167-4ed42fd1ec43.png - Prediction normal - Time 19.794816970825195
Rank 0 - Image MIDRC-RICORD-1C-419639-000538-40522-0.png - Prediction COVID-19 - Time 19.877533197402954
Rank 1 - Image a8e3ea7d-0b63-45cf-85d8-1078d3e2449d.png - Prediction normal - Time 19.618958473205566
Rank 0 - Image MIDRC-RICORD-1C-419639-001735-74702-0.png - Prediction COVID-19 - Time 20.266515731811523
Rank 1 - Image f31d1fb1-604b-4fec-b320-f07ce2694008.png - Prediction normal - Time 21.032229900360107
Rank 0 - Image MIDRC-RICORD-1C-419639-000299-56159-0.png - Prediction COVID-19 - Time 19.714643001556396
Rank 1 - Image 069cfd47-0169-43e7-89a1-0be0fa24105b.png - Prediction normal - Time 20.52509117126465
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000178-89752-0.png - Prediction COVID-19 - Time 20.373162031173706
Rank 1 - Image 85d84453-ab2d-4666-98e6-5df3cbb81f5b.png - Prediction normal - Time 20.231228828430176
Rank 0 - Image MIDRC-RICORD-1C-419639-001287-60951-0.png - Prediction COVID-19 - Time 19.270986318588257
Rank 1 - Image 8db71746-e837-43c2-bdf1-c44d1ab207e3.png - Prediction normal - Time 20.879231691360474
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000182-35476-0.png - Prediction COVID-19 - Time 19.895894050598145
Rank 1 - Image 275f9fff-2439-4f3f-9c48-7c21f348701a.png - Prediction normal - Time 19.448591470718384
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-17477-0.png - Prediction COVID-19 - Time 20.14982533454895
Rank 1 - Image 1d1968e2-88a5-4d72-9237-caf4cbad9423.png - Prediction normal - Time 19.94071936607361
Rank 0 - Image MIDRC-RICORD-1C-419639-002528-57471-0.png - Prediction COVID-19 - Time 20.726556062698364
Rank 1 - Image 07aeb82e-773b-4498-95c0-fabdf4985bb2.png - Prediction normal - Time 21.29094958305359
Rank 0 - Image MIDRC-RICORD-1C-419639-001932-82193-0.png - Prediction COVID-19 - Time 20.693732261657715
Rank 1 - Image 652d6bb3-56a0-4a89-9631-684ce27cfc4c.png - Prediction normal - Time 20.46126675605774
