Sat Dec  4 16:33:16 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   29C    P0    26W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction 2 - Time 23.81030535697937
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000097-16347-1.png - Prediction 2 - Time 25.690818786621094
Rank 5 - Image 47c78742-4998-4878-aec4-37b11b1354ac.png - Prediction 0 - Time 25.920581579208374
Rank 4 - Image MIDRC-RICORD-1C-419639-000025-89853-0.png - Prediction 2 - Time 26.414952278137207
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000001-16794-0.png - Prediction 2 - Time 26.468915462493896
Rank 9 - Image aef87dc2-a097-4683-9fb1-d1af6838a16a.png - Prediction 0 - Time 26.532052278518677
Rank 7 - Image 89dd8f63-8320-48f3-b142-d903f40d5c8c.png - Prediction 0 - Time 26.548023462295532
Rank 6 - Image 168f4fcb-a87d-49fc-b167-4ed42fd1ec43.png - Prediction 0 - Time 26.639074325561523
Rank 8 - Image 7817b551-d220-479b-815f-395f83e1dba1.png - Prediction 1 - Time 28.759520053863525
Rank 1 - Image MIDRC-RICORD-1C-419639-000538-40522-0.png - Prediction 2 - Time 27.826298236846924
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction 2 - Time 20.724762439727783
Rank 3 - Image MIDRC-RICORD-1C-419639-002043-49668-0.png - Prediction 2 - Time 20.754611015319824
Rank 5 - Image 8989e25c-a698-48fc-b428-fff56931fc8f.png - Prediction 0 - Time 20.55355477333069
Rank 4 - Image MIDRC-RICORD-1C-419639-001425-17331-0.png - Prediction 2 - Time 20.310389280319214
Rank 9 - Image afe1b6e2-203e-4ee5-856a-2f205d8bca2a.png - Prediction 1 - Time 20.579679012298584
Rank 7 - Image b76728e6-f44b-40bf-8688-e703d10d2039.png - Prediction 0 - Time 20.60346031188965
Rank 6 - Image a8e3ea7d-0b63-45cf-85d8-1078d3e2449d.png - Prediction 0 - Time 20.755335807800293
Rank 2 - Image MIDRC-RICORD-1C-419639-001571-15270-0.png - Prediction 2 - Time 21.336451053619385
Rank 8 - Image f743c21e-5876-460b-bbd6-2e2dcca41baa.png - Prediction 1 - Time 20.565152883529663
Rank 1 - Image MIDRC-RICORD-1C-419639-001735-74702-0.png - Prediction 2 - Time 23.659022331237793
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction 2 - Time 20.021259307861328
Rank 5 - Image 7fb3786c-5045-4a90-981d-c55b53d4d5d3.png - Prediction 0 - Time 20.090126752853394
Rank 6 - Image f31d1fb1-604b-4fec-b320-f07ce2694008.png - Prediction 0 - Time 19.367788553237915
Rank 3 - Image MIDRC-RICORD-1C-419639-000785-60200-0.png - Prediction 2 - Time 20.386341094970703
Rank 7 - Image d9884def-b31a-4861-9eea-27f97bffeba2.png - Prediction 0 - Time 20.145359992980957
Rank 4 - Image MIDRC-RICORD-1C-440808-000009-08.98-0.png - Prediction 2 - Time 20.584157466888428
Rank 9 - Image 3d070009-c877-4ed4-ac80-53781cb30fef.png - Prediction 1 - Time 20.406692504882812
Rank 2 - Image MIDRC-RICORD-1C-419639-001903-65209-0.png - Prediction 2 - Time 19.899545431137085
Rank 8 - Image e1d5a233-39ca-41dc-a289-b07c3e78cdb1.png - Prediction 1 - Time 19.81830072402954
Rank 1 - Image MIDRC-RICORD-1C-419639-000299-56159-0.png - Prediction 2 - Time 23.124817848205566
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction 2 - Time 20.81320595741272
Rank 5 - Image 766b8aea-3b43-4a34-b675-09f373ca066b.png - Prediction 0 - Time 19.830871105194092
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000244-77429-0.png - Prediction 2 - Time 19.607688188552856
Rank 6 - Image 069cfd47-0169-43e7-89a1-0be0fa24105b.png - Prediction 0 - Time 20.95498490333557
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000035-19513-0.png - Prediction 2 - Time 21.100200653076172
Rank 7 - Image ffba6230-71cf-4287-a0d1-887f5d16e95d.png - Prediction 0 - Time 20.838613271713257
Rank 4 - Image MIDRC-RICORD-1C-419639-000086-21140-0.png - Prediction 2 - Time 20.922176361083984
Rank 9 - Image 34fbff70-fa6e-4709-ab07-17f739fce394.png - Prediction 1 - Time 21.172847986221313
Rank 8 - Image 40a2f7fd-342e-494b-a7e0-5857b73ec582.png - Prediction 1 - Time 19.706984043121338
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000178-89752-0.png - Prediction 2 - Time 23.6438410282135
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction 2 - Time 20.338568210601807
Rank 5 - Image f6236cb5-cc36-4ec4-895c-d11ce043341d.png - Prediction 0 - Time 19.402782201766968
Rank 6 - Image 85d84453-ab2d-4666-98e6-5df3cbb81f5b.png - Prediction 0 - Time 19.740833520889282
Rank 3 - Image MIDRC-RICORD-1C-419639-001155-71955-0.png - Prediction 2 - Time 19.913071632385254
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000270-57009-0.png - Prediction 2 - Time 19.721062421798706
Rank 2 - Image MIDRC-RICORD-1C-419639-000582-21506-0.png - Prediction 2 - Time 20.707969427108765
Rank 9 - Image 2c68016e-5a63-4430-a834-efe5d43edd0e.png - Prediction 1 - Time 19.854788064956665
Rank 7 - Image f3b015ab-e337-4e7f-971d-eb7cc3dd4e92.png - Prediction 0 - Time 20.42977261543274
Rank 8 - Image bcdd92c8-2cde-4899-a6fc-46b875aaab62.png - Prediction 1 - Time 20.3742778301239
Rank 1 - Image MIDRC-RICORD-1C-419639-001287-60951-0.png - Prediction 2 - Time 23.085981369018555
Rank 5 - Image 153b7c2b-4909-4dca-8579-9523582bc4fe.png - Prediction 0 - Time 19.533596992492676
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction 2 - Time 20.510446071624756
Rank 2 - Image MIDRC-RICORD-1C-419639-002088-09388-0.png - Prediction 2 - Time 20.33471965789795
Rank 6 - Image 8db71746-e837-43c2-bdf1-c44d1ab207e3.png - Prediction 0 - Time 20.90629768371582
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000207-20956-0.png - Prediction 2 - Time 20.53862166404724
Rank 9 - Image 8ae822ae-a656-47ba-ac5b-848ce2256575.png - Prediction 1 - Time 19.945149421691895
Rank 4 - Image MIDRC-RICORD-1C-419639-000573-31324-0.png - Prediction 2 - Time 20.847753763198853
Rank 7 - Image bca4aa4d-0cc9-4cc0-b06d-5b675194bf62.png - Prediction 0 - Time 20.808162689208984
Rank 8 - Image ac648f87-a79f-4ce0-9439-23a8dd886b71.png - Prediction 1 - Time 20.176356077194214
Rank 5 - Image 1afd6582-da9d-4e5a-a81f-62a188fe9366.png - Prediction 0 - Time 20.642046213150024
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000182-35476-0.png - Prediction 2 - Time 23.490384817123413
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction 2 - Time 20.92491579055786
Rank 9 - Image f661fe70-2fc1-4564-9f53-45504c0b0688.png - Prediction 1 - Time 19.821269989013672
Rank 6 - Image 275f9fff-2439-4f3f-9c48-7c21f348701a.png - Prediction 0 - Time 20.249385833740234
Rank 3 - Image MIDRC-RICORD-1C-419639-002472-45590-0.png - Prediction 2 - Time 20.323853492736816
Rank 2 - Image MIDRC-RICORD-1C-419639-002050-25234-0.png - Prediction 2 - Time 20.930015325546265
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000154-41630-0.png - Prediction 2 - Time 20.984583139419556
Rank 7 - Image 9e2ddac8-9a4c-448b-98c8-a840a548d0f7.png - Prediction 0 - Time 21.47913932800293
Rank 8 - Image 93b49de9-9267-43c2-a507-6885e4caeaba.png - Prediction 1 - Time 21.51531171798706
Rank 5 - Image 85bb48fe-e6d6-47de-bb71-d1636aced7dc.png - Prediction 0 - Time 20.139466285705566
Rank 9 - Image 78c33a1a-8f22-476c-ae97-8190192102df.png - Prediction 1 - Time 19.47204828262329
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction 0 - Time 20.75190782546997
Rank 3 - Image MIDRC-RICORD-1C-419639-002114-73757-0.png - Prediction 2 - Time 20.446505069732666
Rank 6 - Image 1d1968e2-88a5-4d72-9237-caf4cbad9423.png - Prediction 0 - Time 21.131189346313477
Rank 1 - Image MIDRC-RICORD-1C-419639-000025-17477-0.png - Prediction 2 - Time 23.55133295059204
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000235-44451-0.png - Prediction 2 - Time 20.845516443252563
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000168-32448-0.png - Prediction 2 - Time 20.61852478981018
Rank 7 - Image fc958b63-5da8-448d-8962-3c5167dc9410.png - Prediction 0 - Time 20.69342541694641
Rank 8 - Image af2ff93b-2f33-4c91-bde1-1490fc435b50.png - Prediction 1 - Time 20.867218494415283
Rank 5 - Image eaeb935a-7294-4dd3-8bf5-73ba781d28af.png - Prediction 0 - Time 20.433581352233887
Rank 9 - Image 652b519d-5eb4-4abc-93f7-15ae661a431f.png - Prediction 1 - Time 20.27618384361267
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction 2 - Time 20.392805099487305
Rank 3 - Image MIDRC-RICORD-1C-419639-002997-12964-0.png - Prediction 2 - Time 20.108788013458252
Rank 6 - Image 07aeb82e-773b-4498-95c0-fabdf4985bb2.png - Prediction 0 - Time 20.2218017578125
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000125-08616-1.png - Prediction 2 - Time 19.611286878585815
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000202-80939-0.png - Prediction 2 - Time 20.182188510894775
Rank 8 - Image 31692137-f770-4cfe-a02e-fd207ce813ac.png - Prediction 1 - Time 20.693417072296143
Rank 7 - Image cb7d021b-b273-436a-bd7a-e68c11ed3f6b.png - Prediction 0 - Time 21.204495429992676
Rank 1 - Image MIDRC-RICORD-1C-419639-002528-57471-0.png - Prediction 2 - Time 23.29324197769165
Rank 5 - Image 5f137fa7-6539-499e-b0d5-0e481221bf5a.png - Prediction 1 - Time 20.834563732147217
Rank 9 - Image 2397b2f6-3dfa-476c-89ea-e9992c5bd9a9.png - Prediction 1 - Time 19.5234375
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction 2 - Time 20.820249557495117
Rank 3 - Image MIDRC-RICORD-1C-419639-001464-73170-0.png - Prediction 2 - Time 20.76880407333374
Rank 6 - Image 652d6bb3-56a0-4a89-9631-684ce27cfc4c.png - Prediction 0 - Time 20.30663537979126
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000096-37358-0.png - Prediction 2 - Time 20.82153344154358
Rank 2 - Image MIDRC-RICORD-1C-419639-003203-21209-0.png - Prediction 0 - Time 20.788139820098877
Rank 7 - Image ff332704-48e0-445b-9188-b2a696d1f0d7.png - Prediction 0 - Time 20.49196696281433
Rank 8 - Image f7379744-be39-44b2-8816-a743857bd6a6.png - Prediction 1 - Time 20.945600032806396
Rank 1 - Image MIDRC-RICORD-1C-419639-001932-82193-0.png - Prediction 2 - Time 23.282907009124756
Rank 5 - Image b5234584-1487-492c-8742-444b9ca41c3d.png - Prediction 0 - Time 20.1195387840271
Rank 9 - Image ac10f43e-03b8-43d2-bcae-6fe000542397.png - Prediction 0 - Time 20.262123346328735
