Sun Dec  5 13:57:09 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   47C    P0    29W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction 2 - Time 23.497467279434204
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000106-15732-0.png - Prediction 2 - Time 23.703311920166016
Rank 2 - Image 47c78742-4998-4878-aec4-37b11b1354ac.png - Prediction 0 - Time 23.996403455734253
Rank 3 - Image bd8facb9-dce0-4048-8249-e6078b28e1b7.png - Prediction 1 - Time 24.16061568260193
Rank 2 - Image 8989e25c-a698-48fc-b428-fff56931fc8f.png - Prediction 0 - Time 19.468042373657227
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000297-71173-1.png - Prediction 2 - Time 19.778347730636597
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction 2 - Time 20.53449034690857
Rank 3 - Image 4dbc44ca-694a-4814-9a24-bc60c8d8d611.png - Prediction 1 - Time 20.510383129119873
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000204-24409-0.png - Prediction 2 - Time 19.08902645111084
Rank 2 - Image 7fb3786c-5045-4a90-981d-c55b53d4d5d3.png - Prediction 0 - Time 20.502607822418213
Rank 3 - Image 3f504abe-2133-4e09-98af-743cdea486f9.png - Prediction 1 - Time 20.00487494468689
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction 2 - Time 20.670382261276245
Rank 1 - Image MIDRC-RICORD-1C-419639-001464-82193-0.png - Prediction 2 - Time 19.474212646484375
Rank 2 - Image 766b8aea-3b43-4a34-b675-09f373ca066b.png - Prediction 0 - Time 20.589617013931274
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction 2 - Time 20.85675811767578
Rank 3 - Image af169d21-1c39-445e-82d8-5035182a3a8c.png - Prediction 1 - Time 21.266703844070435
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000058-42859-0.png - Prediction 2 - Time 19.143961191177368
Rank 2 - Image f6236cb5-cc36-4ec4-895c-d11ce043341d.png - Prediction 0 - Time 20.71462392807007
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction 2 - Time 20.330998420715332
Rank 3 - Image fcd159f4-21d3-4169-a94b-95a2b5ccddcb.png - Prediction 1 - Time 20.02713656425476
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000149-71428-1.png - Prediction 2 - Time 19.255024671554565
Rank 3 - Image b6db3041-1554-43ef-baca-58733b6717d6.png - Prediction 0 - Time 20.260578393936157
Rank 2 - Image 153b7c2b-4909-4dca-8579-9523582bc4fe.png - Prediction 0 - Time 20.977707147598267
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction 2 - Time 20.60518455505371
Rank 1 - Image MIDRC-RICORD-1C-419639-002281-83348-0.png - Prediction 2 - Time 19.32066559791565
Rank 2 - Image 1afd6582-da9d-4e5a-a81f-62a188fe9366.png - Prediction 0 - Time 20.385459661483765
Rank 3 - Image a0a8370a-dc3f-4f70-a440-e3fa9827928a.png - Prediction 1 - Time 20.48216962814331
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction 2 - Time 21.766499042510986
Rank 1 - Image MIDRC-RICORD-1C-419639-002733-79941-0.png - Prediction 2 - Time 19.401708126068115
Rank 2 - Image 85bb48fe-e6d6-47de-bb71-d1636aced7dc.png - Prediction 0 - Time 20.27667737007141
Rank 3 - Image 1dad3414-88c9-4c56-af5d-3a1488af452c.png - Prediction 1 - Time 20.591163396835327
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction 0 - Time 20.80845808982849
Rank 1 - Image MIDRC-RICORD-1C-419639-000025-81112-0.png - Prediction 2 - Time 19.073328256607056
Rank 2 - Image eaeb935a-7294-4dd3-8bf5-73ba781d28af.png - Prediction 0 - Time 20.261816024780273
Rank 3 - Image f760c946-a103-4991-a6e5-ff60c24cd99f.png - Prediction 1 - Time 20.12116813659668
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction 2 - Time 20.305058002471924
Rank 1 - Image MIDRC-RICORD-1C-419639-003186-86346-0.png - Prediction 2 - Time 19.412642240524292
Rank 3 - Image b021293c-4dd0-450c-b1a4-2d72cedab0a2.png - Prediction 1 - Time 20.74948525428772
Rank 2 - Image 5f137fa7-6539-499e-b0d5-0e481221bf5a.png - Prediction 1 - Time 21.278137922286987
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction 2 - Time 21.068872690200806
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000237-52517-0.png - Prediction 2 - Time 19.088310480117798
Rank 3 - Image 349f10b4-dc3e-4f3f-b2e4-a5b81448ce87.png - Prediction 1 - Time 20.52949285507202
Rank 2 - Image b5234584-1487-492c-8742-444b9ca41c3d.png - Prediction 0 - Time 20.598514080047607
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000018-55212-0.png - Prediction 2 - Time 20.197574853897095
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000002-65816-0.png - Prediction 2 - Time 19.260568141937256
Rank 3 - Image 05d3817a-5535-4e77-8dda-d4412e496c81.png - Prediction 1 - Time 20.539193153381348
Rank 2 - Image 71d8d6ec-253b-4272-a467-311828b2a35b.png - Prediction 0 - Time 21.2769832611084
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-50888-0.png - Prediction 2 - Time 19.77868390083313
Rank 1 - Image MIDRC-RICORD-1C-419639-000025-39552-1.png - Prediction 2 - Time 19.60948133468628
Rank 3 - Image c21157da-1f74-4966-ba4e-c144d8f5da2d.png - Prediction 1 - Time 20.51635980606079
Rank 0 - Image MIDRC-RICORD-1C-419639-001288-10277-0.png - Prediction 2 - Time 20.466440439224243
Rank 2 - Image 0103fadb-1663-40a6-8a9e-09d626cd2091.png - Prediction 0 - Time 21.53885054588318
Rank 1 - Image MIDRC-RICORD-1C-419639-000082-79663-0.png - Prediction 2 - Time 19.30884575843811
Rank 3 - Image 5acc56a4-1b6e-4394-9364-9772047d583f.png - Prediction 1 - Time 20.54337763786316
Rank 0 - Image MIDRC-RICORD-1C-419639-002757-16718-0.png - Prediction 2 - Time 19.548755168914795
Rank 2 - Image e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png - Prediction 0 - Time 20.340707302093506
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000094-94497-0.png - Prediction 2 - Time 19.052922010421753
Rank 3 - Image dd4d6a4c-1e67-4911-bda2-7d8af75b1b19.png - Prediction 1 - Time 20.13278293609619
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000135-64564-1.png - Prediction 2 - Time 20.362412691116333
Rank 2 - Image 2f8fbfdc-56db-4eca-bf64-3c9a0637e28c.png - Prediction 0 - Time 19.64562225341797
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000131-16046-1.png - Prediction 2 - Time 19.668009519577026
Rank 3 - Image f0ba0019-718f-4677-a723-05c27dba2f3e.png - Prediction 1 - Time 21.024914026260376
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000147-13199-0.png - Prediction 2 - Time 20.710403203964233
Rank 2 - Image bc46651a-1314-44af-a834-1eb8a36e589e.png - Prediction 0 - Time 19.759995222091675
Rank 1 - Image MIDRC-RICORD-1C-419639-002309-84923-0.png - Prediction 2 - Time 19.009599208831787
Rank 0 - Image MIDRC-RICORD-1C-419639-002601-92699-0.png - Prediction 2 - Time 20.283947944641113
Rank 3 - Image cc3177c8-6570-497c-aef3-6fbddef692f6.png - Prediction 1 - Time 20.415555953979492
Rank 2 - Image 71d25920-4060-4a31-b7aa-cfbf4721a5c5.png - Prediction 0 - Time 20.326282739639282
Rank 1 - Image MIDRC-RICORD-1C-419639-002768-13069-0.png - Prediction 2 - Time 19.774296522140503
Rank 3 - Image 0e03c2d7-9cea-4dc7-8e91-794a8b3ff58d.png - Prediction 1 - Time 19.85705804824829
Rank 2 - Image ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png - Prediction 0 - Time 19.996121406555176
Rank 0 - Image MIDRC-RICORD-1C-419639-002310-52924-0.png - Prediction 2 - Time 20.4899160861969
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000108-12642-0.png - Prediction 2 - Time 20.89850115776062
Rank 2 - Image dab2f334-331c-42c7-af09-a997092464b0.png - Prediction 1 - Time 19.830355882644653
Rank 3 - Image 070c921f-171c-420c-915b-e49e3f600c38.png - Prediction 1 - Time 20.647255182266235
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000171-45676-0.png - Prediction 2 - Time 21.271332263946533
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000170-25974-1.png - Prediction 2 - Time 20.68067240715027
Rank 2 - Image 436dce2a-06c3-4281-bb8e-840497a49381.png - Prediction 1 - Time 19.543914794921875
Rank 3 - Image caa545b4-4eea-4e3a-90b1-c4c0789a1109.png - Prediction 1 - Time 20.335811376571655
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-56001-0.png - Prediction 2 - Time 21.23046898841858
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000097-16347-1.png - Prediction 2 - Time 20.990293502807617
Rank 2 - Image af6ef3d9-81c8-434e-bc5a-dbf89bc418aa.png - Prediction 0 - Time 20.973036527633667
Rank 3 - Image 7817b551-d220-479b-815f-395f83e1dba1.png - Prediction 1 - Time 19.88329005241394
Rank 1 - Image MIDRC-RICORD-1C-419639-002043-49668-0.png - Prediction 2 - Time 20.413777112960815
Rank 0 - Image MIDRC-RICORD-1C-419639-003340-85716-0.png - Prediction 2 - Time 20.704047918319702
Rank 3 - Image f743c21e-5876-460b-bbd6-2e2dcca41baa.png - Prediction 1 - Time 20.076797485351562
Rank 2 - Image a7aef71b-0fc8-4837-be79-4ced56e03439.png - Prediction 0 - Time 20.935020208358765
Rank 1 - Image MIDRC-RICORD-1C-419639-000785-60200-0.png - Prediction 2 - Time 20.793551445007324
Rank 0 - Image MIDRC-RICORD-1C-419639-003257-00787-0.png - Prediction 2 - Time 20.89024782180786
Rank 3 - Image e1d5a233-39ca-41dc-a289-b07c3e78cdb1.png - Prediction 1 - Time 20.001630783081055
Rank 2 - Image dfa57c1f-01fb-4417-a1b5-0641a9b4bb84.png - Prediction 0 - Time 20.61478590965271
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000099-22857-0.png - Prediction 2 - Time 19.938403367996216
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000035-19513-0.png - Prediction 2 - Time 20.449455738067627
Rank 3 - Image 40a2f7fd-342e-494b-a7e0-5857b73ec582.png - Prediction 1 - Time 20.41046714782715
Rank 2 - Image 5eb932e2-3455-40fe-93db-ae44f897d9e0.png - Prediction 0 - Time 21.090041399002075
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000155-37671-0.png - Prediction 2 - Time 20.30979084968567
Rank 1 - Image MIDRC-RICORD-1C-419639-001155-71955-0.png - Prediction 2 - Time 20.825456380844116
Rank 3 - Image bcdd92c8-2cde-4899-a6fc-46b875aaab62.png - Prediction 1 - Time 20.44409990310669
Rank 0 - Image MIDRC-RICORD-1C-419639-000235-89929-0.png - Prediction 2 - Time 19.613844871520996
Rank 2 - Image e8485b0f-293d-4ca8-8b71-92db61c8ee3e.png - Prediction 0 - Time 21.54242467880249
