Mon Dec  6 05:51:51 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   38C    P0    27W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 0 - Image COVID-19_02132021(8).jpg - Prediction 0 - Time 13.048555612564087
Rank 1 - Image NoFinding-patient40760-study1-view1_frontal.jpg - Prediction 2 - Time 13.186565399169922
Rank 0 - Image COVID-19_02132021(10).jpg - Prediction 2 - Time 6.754108905792236
Rank 1 - Image NoFinding-patient52153-study1-view1_frontal.jpg - Prediction 0 - Time 7.789843559265137
Rank 4 - Image patient01444-study5-view1_frontal.jpg - Prediction 0 - Time 13.327899694442749
Rank 6 - Image patient05694-study2-view1_frontal.jpg - Prediction 2 - Time 14.602097749710083
Rank 0 - Image COVID-19_02132021(47).jpg - Prediction 2 - Time 7.914166450500488
Rank 1 - Image NoFinding-patient17712-study4-view1_frontal.jpg - Prediction 2 - Time 7.137664079666138
Rank 4 - Image patient08661-study1-view1_frontal.jpg - Prediction 2 - Time 8.134522914886475
Rank 2 - Image patient05411-study1-view1_frontal.jpg - Prediction 0 - Time 12.166690587997437
Rank 5 - Image patient04970-study1-view1_frontal.jpg - Prediction 2 - Time 12.28678822517395
Rank 6 - Image patient05358-study1-view1_frontal.jpg - Prediction 0 - Time 7.8963398933410645
Rank 3 - Image patient08157-study1-view1_frontal.jpg - Prediction 0 - Time 13.712069749832153
Rank 0 - Image covid-19-pneumonia-22-day2-pa.png - Prediction 2 - Time 7.170212268829346
Rank 1 - Image NoFinding-patient35000-study7-view1_frontal.jpg - Prediction 2 - Time 7.567033529281616
Rank 4 - Image patient07305-study1-view1_frontal.jpg - Prediction 0 - Time 7.9543609619140625
Rank 2 - Image patient07333-study1-view1_frontal.jpg - Prediction 2 - Time 6.85942816734314
Rank 5 - Image patient02427-study10-view1_frontal.jpg - Prediction 2 - Time 7.170323848724365
Rank 3 - Image patient06929-study1-view1_frontal.jpg - Prediction 0 - Time 6.9387757778167725
Rank 6 - Image patient00123-study3-view1_frontal.jpg - Prediction 2 - Time 9.574997901916504
Rank 1 - Image NoFinding-patient31965-study2-view1_frontal.jpg - Prediction 1 - Time 7.713334321975708
Rank 0 - Image 8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg - Prediction 0 - Time 8.851305484771729
Rank 2 - Image patient02479-study2-view1_frontal.jpg - Prediction 0 - Time 6.7654173374176025
Rank 4 - Image patient01835-study2-view1_frontal.jpg - Prediction 2 - Time 8.124622583389282
Rank 5 - Image patient07290-study1-view1_frontal.jpg - Prediction 2 - Time 7.917659282684326
Rank 3 - Image patient02118-study1-view1_frontal.jpg - Prediction 0 - Time 7.000904083251953
Rank 0 - Image COVID-19_02132021(18).jpg - Prediction 1 - Time 6.74771523475647
Rank 1 - Image NoFinding-patient38955-study1-view1_frontal.jpg - Prediction 2 - Time 8.134925365447998
Rank 6 - Image patient06845-study3-view1_frontal.jpg - Prediction 2 - Time 8.75429654121399
Rank 2 - Image patient05235-study4-view1_frontal.jpg - Prediction 0 - Time 8.168456315994263
Rank 5 - Image patient04947-study1-view1_frontal.jpg - Prediction 2 - Time 6.656673431396484
Rank 4 - Image patient07690-study2-view1_frontal.jpg - Prediction 0 - Time 7.980322599411011
Rank 3 - Image patient05678-study12-view1_frontal.jpg - Prediction 1 - Time 7.810078382492065
Rank 0 - Image extubation-8.jpg - Prediction 2 - Time 7.633126258850098
Rank 1 - Image NoFinding-patient29015-study10-view1_frontal.jpg - Prediction 0 - Time 7.431662082672119
Rank 6 - Image patient02089-study1-view1_frontal.jpg - Prediction 2 - Time 8.619107246398926
Rank 2 - Image patient08660-study1-view1_frontal.jpg - Prediction 2 - Time 6.800436496734619
Rank 5 - Image patient01086-study1-view1_frontal.jpg - Prediction 0 - Time 7.015035390853882
Rank 3 - Image patient05170-study2-view1_frontal.jpg - Prediction 0 - Time 6.985779047012329
Rank 4 - Image patient02002-study1-view1_frontal.jpg - Prediction 0 - Time 9.122722864151001
Rank 0 - Image figure1-5e7c1b8d98c29ab001275405-98.jpeg - Prediction 2 - Time 6.654695749282837
Rank 1 - Image NoFinding-patient34586-study1-view1_frontal.jpg - Prediction 1 - Time 8.016947269439697
Rank 5 - Image patient03569-study5-view1_frontal.jpg - Prediction 2 - Time 7.014087200164795
Rank 6 - Image patient04905-study1-view1_frontal.jpg - Prediction 0 - Time 8.680613040924072
Rank 2 - Image patient05426-study1-view1_frontal.jpg - Prediction 1 - Time 7.7769293785095215
Rank 3 - Image patient06284-study1-view1_frontal.jpg - Prediction 0 - Time 6.7071309089660645
Rank 4 - Image patient06760-study2-view1_frontal.jpg - Prediction 2 - Time 7.113966941833496
Rank 0 - Image COVID-19_02132021(34).jpg - Prediction 1 - Time 8.298196792602539
Rank 1 - Image NoFinding-patient30124-study3-view1_frontal.jpg - Prediction 2 - Time 7.995373010635376
Rank 5 - Image patient02654-study1-view1_frontal.jpg - Prediction 0 - Time 7.911250591278076
Rank 2 - Image patient03045-study1-view1_frontal.jpg - Prediction 0 - Time 7.665109157562256
Rank 6 - Image patient06315-study1-view1_frontal.jpg - Prediction 2 - Time 9.184288501739502
Rank 4 - Image patient08138-study10-view1_frontal.jpg - Prediction 2 - Time 7.049841642379761
Rank 3 - Image patient07374-study1-view1_frontal.jpg - Prediction 1 - Time 8.890175342559814
Rank 0 - Image 31BA3780-2323-493F-8AED-62081B9C383B.jpeg - Prediction 2 - Time 6.671907424926758
Rank 1 - Image NoFinding-patient29323-study1-view1_frontal.jpg - Prediction 0 - Time 7.131491661071777
Rank 5 - Image patient06523-study2-view1_frontal.jpg - Prediction 2 - Time 7.018580198287964
Rank 2 - Image patient03630-study1-view1_frontal.jpg - Prediction 0 - Time 8.173588514328003
Rank 4 - Image patient07748-study2-view1_frontal.jpg - Prediction 2 - Time 7.282340049743652
Rank 0 - Image COVID-1912132020(95).jpg - Prediction 2 - Time 6.706675291061401
Rank 3 - Image patient08627-study1-view1_frontal.jpg - Prediction 2 - Time 7.865076065063477
Rank 6 - Image patient01686-study1-view1_frontal.jpg - Prediction 0 - Time 8.954281091690063
Rank 1 - Image NoFinding-patient52236-study1-view1_frontal.jpg - Prediction 2 - Time 7.962029695510864
Rank 5 - Image patient00866-study1-view1_frontal.jpg - Prediction 1 - Time 8.391741037368774
Rank 4 - Image patient08195-study1-view1_frontal.jpg - Prediction 2 - Time 7.112850904464722
Rank 3 - Image patient06875-study1-view1_frontal.jpg - Prediction 0 - Time 6.454299211502075
Rank 2 - Image patient04998-study3-view1_frontal.jpg - Prediction 2 - Time 8.047348737716675
Rank 0 - Image COVID-1912132020(57).jpg - Prediction 2 - Time 7.8870298862457275
Rank 6 - Image patient07995-study1-view1_frontal.jpg - Prediction 2 - Time 8.308799743652344
Rank 1 - Image NoFinding-patient36436-study7-view1_frontal.jpg - Prediction 1 - Time 8.06771993637085
Rank 5 - Image patient02434-study1-view1_frontal.jpg - Prediction 0 - Time 6.6597089767456055
Rank 4 - Image patient04953-study1-view1_frontal.jpg - Prediction 2 - Time 7.660229206085205
Rank 2 - Image patient06342-study1-view1_frontal.jpg - Prediction 0 - Time 7.665942907333374
Rank 3 - Image patient05395-study1-view1_frontal.jpg - Prediction 0 - Time 8.906221151351929
Rank 0 - Image COVID-19_02132021(22).jpg - Prediction 2 - Time 8.183143138885498
Rank 6 - Image patient07490-study1-view1_frontal.jpg - Prediction 2 - Time 7.989347457885742
Rank 1 - Image NoFinding-patient10963-study5-view1_frontal.jpg - Prediction 1 - Time 7.638737440109253
Rank 5 - Image patient05995-study8-view1_frontal.jpg - Prediction 2 - Time 7.1251020431518555
Rank 2 - Image patient00154-study1-view1_frontal.jpg - Prediction 2 - Time 7.546621084213257
Rank 4 - Image patient01982-study1-view1_frontal.jpg - Prediction 0 - Time 7.822629928588867
Rank 0 - Image 4-x-day4.jpg - Prediction 2 - Time 7.109480142593384
Rank 3 - Image patient09023-study1-view1_frontal.jpg - Prediction 2 - Time 8.589717388153076
Rank 6 - Image patient00699-study1-view1_frontal.jpg - Prediction 0 - Time 8.544186353683472
Rank 5 - Image patient00989-study1-view1_frontal.jpg - Prediction 0 - Time 6.519573211669922
Rank 1 - Image NoFinding-patient63904-study1-view1_frontal.jpg - Prediction 2 - Time 7.638528108596802
Rank 4 - Image patient06537-study2-view1_frontal.jpg - Prediction 2 - Time 6.768628835678101
Rank 2 - Image patient05448-study1-view1_frontal.jpg - Prediction 0 - Time 7.152749300003052
Rank 0 - Image COVID-19_02132021(4).jpg - Prediction 0 - Time 7.961317300796509
Rank 3 - Image patient03183-study1-view1_frontal.jpg - Prediction 0 - Time 7.778873682022095
Rank 5 - Image patient09070-study2-view1_frontal.jpg - Prediction 0 - Time 7.083507537841797
Rank 6 - Image patient08740-study22-view1_frontal.jpg - Prediction 0 - Time 8.271588563919067
Rank 1 - Image NoFinding-patient11266-study1-view1_frontal.jpg - Prediction 2 - Time 8.059535026550293
Rank 4 - Image patient08885-study1-view1_frontal.jpg - Prediction 2 - Time 7.526864528656006
Rank 2 - Image patient04222-study1-view1_frontal.jpg - Prediction 0 - Time 7.917656660079956
Rank 0 - Image COVID-19_02132021(43).jpg - Prediction 2 - Time 7.6707868576049805
Rank 3 - Image patient00751-study1-view1_frontal.jpg - Prediction 0 - Time 8.589540481567383
Rank 5 - Image patient03386-study1-view1_frontal.jpg - Prediction 2 - Time 7.748989820480347
Rank 1 - Image NoFinding-patient41866-study1-view1_frontal.jpg - Prediction 2 - Time 7.235323190689087
Rank 6 - Image patient05471-study1-view1_frontal.jpg - Prediction 2 - Time 8.705442428588867
Rank 2 - Image patient08194-study1-view1_frontal.jpg - Prediction 0 - Time 6.607046604156494
Rank 4 - Image patient00577-study1-view1_frontal.jpg - Prediction 0 - Time 7.305429697036743
Rank 0 - Image covid-19-pneumonia-7-PA.jpg - Prediction 2 - Time 8.073118925094604
Rank 5 - Image patient00851-study1-view1_frontal.jpg - Prediction 2 - Time 7.133392095565796
Rank 3 - Image patient08649-study1-view1_frontal.jpg - Prediction 0 - Time 7.761521339416504
Rank 1 - Image NoFinding-patient61659-study1-view1_frontal.jpg - Prediction 0 - Time 6.914239406585693
Rank 6 - Image patient08964-study2-view1_frontal.jpg - Prediction 2 - Time 8.484950542449951
Rank 2 - Image patient00163-study1-view1_frontal.jpg - Prediction 2 - Time 7.965996265411377
Rank 4 - Image patient08458-study1-view1_frontal.jpg - Prediction 0 - Time 7.996638059616089
Rank 0 - Image 67d668e570c242404ba82c7cbe2ca8f2-05be-0.jpg - Prediction 2 - Time 7.430245637893677
Rank 5 - Image patient05959-study2-view1_frontal.jpg - Prediction 2 - Time 7.10490608215332
Rank 3 - Image patient04005-study1-view1_frontal.jpg - Prediction 2 - Time 7.5590386390686035
Rank 1 - Image NoFinding-patient25729-study16-view1_frontal.jpg - Prediction 2 - Time 7.068537473678589
Rank 4 - Image patient05184-study1-view1_frontal.jpg - Prediction 0 - Time 7.390135049819946
Rank 2 - Image patient03022-study1-view2_frontal.jpg - Prediction 2 - Time 7.739595890045166
Rank 6 - Image patient06539-study1-view1_frontal.jpg - Prediction 0 - Time 8.6356680393219
Rank 0 - Image COVID-19_02132021(38).jpg - Prediction 1 - Time 6.995593547821045
Rank 5 - Image patient08643-study2-view1_frontal.jpg - Prediction 0 - Time 7.45220422744751
Rank 3 - Image patient06727-study1-view1_frontal.jpg - Prediction 1 - Time 8.365360260009766
