Tue Dec  7 19:01:26 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   28C    P0    26W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 0 - Image COVID-19_02132021(8).jpg - Prediction 0 - Time 11.069145202636719
Rank 4 - Image patient07796-study1-view1_frontal.jpg - Prediction 2 - Time 11.07914400100708
Rank 2 - Image patient07683-study2-view1_frontal.jpg - Prediction 2 - Time 11.436720132827759
Rank 4 - Image patient04144-study1-view1_frontal.jpg - Prediction 2 - Time 6.6536853313446045
Rank 0 - Image COVID-19_02132021(10).jpg - Prediction 2 - Time 6.865262985229492
Rank 3 - Image patient00265-study1-view1_frontal.jpg - Prediction 0 - Time 11.143449783325195
Rank 2 - Image patient06879-study1-view1_frontal.jpg - Prediction 2 - Time 8.094373941421509
Rank 1 - Image 1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-002-fig3a.png - Prediction 2 - Time 12.74976634979248
Rank 4 - Image patient08487-study1-view1_frontal.jpg - Prediction 0 - Time 6.684798240661621
Rank 0 - Image COVID-19_02132021(47).jpg - Prediction 2 - Time 6.832858085632324
Rank 3 - Image patient03558-study1-view1_frontal.jpg - Prediction 0 - Time 6.715010643005371
Rank 2 - Image patient00839-study2-view1_frontal.jpg - Prediction 0 - Time 7.941807985305786
Rank 0 - Image covid-19-pneumonia-22-day2-pa.png - Prediction 2 - Time 6.853823661804199
Rank 1 - Image covid-19-pneumonia-24-day7.jpg - Prediction 2 - Time 8.54903531074524
Rank 4 - Image patient01459-study2-view1_frontal.jpg - Prediction 0 - Time 7.7000815868377686
Rank 3 - Image patient05717-study1-view1_frontal.jpg - Prediction 0 - Time 8.024275541305542
Rank 2 - Image patient07989-study1-view1_frontal.jpg - Prediction 0 - Time 7.8312156200408936
Rank 0 - Image 8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg - Prediction 0 - Time 6.788084506988525
Rank 4 - Image patient00446-study2-view1_frontal.jpg - Prediction 0 - Time 6.638185977935791
Rank 1 - Image A7E260CE-8A00-4C5F-A7F5-27336527A981.jpeg - Prediction 2 - Time 8.404061317443848
Rank 3 - Image patient01456-study1-view1_frontal.jpg - Prediction 2 - Time 6.837888240814209
Rank 0 - Image COVID-19_02132021(18).jpg - Prediction 1 - Time 6.6314427852630615
Rank 4 - Image patient04031-study5-view1_frontal.jpg - Prediction 1 - Time 6.687173366546631
Rank 2 - Image patient05434-study1-view1_frontal.jpg - Prediction 2 - Time 8.240528583526611
Rank 3 - Image patient03804-study1-view1_frontal.jpg - Prediction 0 - Time 6.804048299789429
Rank 1 - Image 41591_2020_819_Fig1_HTML.webp-day10.png - Prediction 2 - Time 9.840420007705688
Rank 0 - Image extubation-8.jpg - Prediction 2 - Time 6.790691375732422
Rank 4 - Image patient05995-study9-view1_frontal.jpg - Prediction 0 - Time 7.898675203323364
Rank 2 - Image patient07316-study1-view1_frontal.jpg - Prediction 0 - Time 7.353458642959595
Rank 3 - Image patient00449-study1-view1_frontal.jpg - Prediction 0 - Time 6.670541286468506
Rank 0 - Image figure1-5e7c1b8d98c29ab001275405-98.jpeg - Prediction 2 - Time 6.599128484725952
Rank 1 - Image 1-s2.0-S0140673620303706-fx1_lrg.jpg - Prediction 2 - Time 8.759780883789062
Rank 4 - Image patient04863-study1-view1_frontal.jpg - Prediction 2 - Time 6.739323377609253
Rank 2 - Image patient08007-study1-view1_frontal.jpg - Prediction 2 - Time 8.165306329727173
Rank 3 - Image patient08730-study2-view1_frontal.jpg - Prediction 0 - Time 6.777574300765991
Rank 0 - Image COVID-19_02132021(34).jpg - Prediction 1 - Time 6.793539524078369
Rank 1 - Image 1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-002-fig3b.png - Prediction 2 - Time 7.5030152797698975
Rank 4 - Image patient06431-study1-view1_frontal.jpg - Prediction 0 - Time 6.57253623008728
Rank 2 - Image patient07866-study1-view1_frontal.jpg - Prediction 2 - Time 7.337770223617554
Rank 3 - Image patient00202-study1-view2_frontal.jpg - Prediction 2 - Time 6.7065110206604
Rank 0 - Image 31BA3780-2323-493F-8AED-62081B9C383B.jpeg - Prediction 2 - Time 6.686222553253174
Rank 4 - Image patient03143-study1-view1_frontal.jpg - Prediction 0 - Time 6.7565600872039795
Rank 1 - Image 53EC07C9-5CC6-4BE4-9B6F-D7B0D72AAA7E.jpeg - Prediction 2 - Time 8.021815299987793
Rank 3 - Image patient07677-study1-view1_frontal.jpg - Prediction 2 - Time 6.736468076705933
Rank 2 - Image patient03761-study6-view1_frontal.jpg - Prediction 2 - Time 7.785227060317993
Rank 0 - Image COVID-1912132020(95).jpg - Prediction 2 - Time 6.736877918243408
Rank 4 - Image patient07477-study1-view1_frontal.jpg - Prediction 0 - Time 7.892179012298584
Rank 3 - Image patient05576-study2-view1_frontal.jpg - Prediction 1 - Time 6.676966190338135
Rank 1 - Image covid-19-pneumonia-20.jpg - Prediction 2 - Time 9.171347618103027
Rank 2 - Image patient05399-study1-view1_frontal.jpg - Prediction 0 - Time 7.244729280471802
Rank 0 - Image COVID-1912132020(57).jpg - Prediction 2 - Time 6.678011655807495
Rank 4 - Image patient08751-study1-view1_frontal.jpg - Prediction 0 - Time 7.0732741355896
Rank 3 - Image patient01902-study4-view1_frontal.jpg - Prediction 0 - Time 6.772279500961304
Rank 0 - Image COVID-19_02132021(22).jpg - Prediction 2 - Time 6.687084913253784
Rank 1 - Image 16674_1_1.jpg - Prediction 2 - Time 8.87378191947937
Rank 2 - Image patient02229-study2-view1_frontal.jpg - Prediction 2 - Time 7.9317402839660645
Rank 3 - Image patient08216-study1-view1_frontal.jpg - Prediction 0 - Time 6.599397659301758
Rank 4 - Image patient03174-study1-view1_frontal.jpg - Prediction 2 - Time 9.058833360671997
Rank 0 - Image 4-x-day4.jpg - Prediction 2 - Time 6.7715489864349365
Rank 1 - Image covid-19-infection-exclusive-gastrointestinal-symptoms-pa.png - Prediction 2 - Time 8.286016941070557
Rank 2 - Image patient06087-study2-view1_frontal.jpg - Prediction 0 - Time 8.211517810821533
Rank 3 - Image patient01564-study1-view1_frontal.jpg - Prediction 2 - Time 6.593334197998047
Rank 4 - Image patient08021-study1-view1_frontal.jpg - Prediction 2 - Time 7.121501684188843
Rank 0 - Image COVID-19_02132021(4).jpg - Prediction 0 - Time 6.772089004516602
Rank 2 - Image patient08645-study1-view1_frontal.jpg - Prediction 2 - Time 7.594034671783447
Rank 1 - Image post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day6-1.jpg - Prediction 2 - Time 8.363654136657715
Rank 3 - Image patient07107-study1-view1_frontal.jpg - Prediction 0 - Time 6.787228345870972
Rank 4 - Image patient08907-study2-view1_frontal.jpg - Prediction 2 - Time 7.151645660400391
Rank 0 - Image COVID-19_02132021(43).jpg - Prediction 2 - Time 6.6412012577056885
Rank 2 - Image patient07451-study1-view1_frontal.jpg - Prediction 0 - Time 7.842575550079346
Rank 3 - Image patient01553-study1-view1_frontal.jpg - Prediction 2 - Time 6.684214353561401
Rank 1 - Image post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day1.jpg - Prediction 2 - Time 9.24875521659851
Rank 4 - Image patient07025-study5-view1_frontal.jpg - Prediction 2 - Time 7.034389972686768
Rank 0 - Image covid-19-pneumonia-7-PA.jpg - Prediction 2 - Time 6.864140510559082
Rank 3 - Image patient08221-study1-view1_frontal.jpg - Prediction 2 - Time 6.611093997955322
Rank 2 - Image patient03040-study3-view1_frontal.jpg - Prediction 2 - Time 7.966760635375977
Rank 0 - Image 67d668e570c242404ba82c7cbe2ca8f2-05be-0.jpg - Prediction 2 - Time 6.784459590911865
Rank 1 - Image 1312A392-67A3-4EBF-9319-810CF6DA5EF6.jpeg - Prediction 2 - Time 8.799984455108643
Rank 4 - Image patient05209-study1-view1_frontal.jpg - Prediction 2 - Time 9.161443948745728
Rank 3 - Image patient04197-study1-view1_frontal.jpg - Prediction 0 - Time 6.701625823974609
Rank 2 - Image patient03727-study1-view1_frontal.jpg - Prediction 2 - Time 7.6338536739349365
Rank 0 - Image COVID-19_02132021(38).jpg - Prediction 1 - Time 6.640556573867798
Rank 1 - Image 88de9d8c39e946abd495b37cd07d89e5-2ee6-0.jpg - Prediction 2 - Time 8.707665205001831
Rank 4 - Image patient05896-study1-view1_frontal.jpg - Prediction 0 - Time 7.927875280380249
Rank 3 - Image patient06555-study2-view1_frontal.jpg - Prediction 0 - Time 6.663722991943359
Rank 2 - Image patient07963-study1-view1_frontal.jpg - Prediction 2 - Time 7.458212614059448
Rank 0 - Image COVID-1912132020(60).jpg - Prediction 0 - Time 6.703744411468506
Rank 3 - Image patient00810-study1-view1_frontal.jpg - Prediction 2 - Time 6.617583990097046
Rank 4 - Image patient02000-study1-view1_frontal.jpg - Prediction 0 - Time 7.779007911682129
Rank 1 - Image 6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg - Prediction 2 - Time 8.385476350784302
Rank 0 - Image nejmoa2001191_f5-PA.jpeg - Prediction 2 - Time 6.723874807357788
Rank 2 - Image patient00636-study1-view1_frontal.jpg - Prediction 0 - Time 8.495065450668335
Rank 3 - Image patient00360-study1-view1_frontal.jpg - Prediction 2 - Time 6.728818655014038
Rank 4 - Image patient04216-study1-view1_frontal.jpg - Prediction 0 - Time 6.809682607650757
Rank 0 - Image COVID-1912132020(99).jpg - Prediction 2 - Time 6.722771167755127
Rank 1 - Image 1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-003-fig4a.png - Prediction 2 - Time 8.884947061538696
Rank 2 - Image patient00043-study1-view1_frontal.jpg - Prediction 2 - Time 7.28518271446228
Rank 3 - Image patient08294-study14-view1_frontal.jpg - Prediction 0 - Time 6.690293788909912
Rank 4 - Image patient08197-study1-view1_frontal.jpg - Prediction 0 - Time 7.3296637535095215
Rank 0 - Image COVID-1912132020(76).jpg - Prediction 2 - Time 6.798336982727051
Rank 1 - Image covid-19-pneumonia-bilateral.jpg - Prediction 2 - Time 8.67292046546936
Rank 2 - Image patient03749-study1-view1_frontal.jpg - Prediction 0 - Time 7.278831958770752
Rank 3 - Image patient07169-study1-view1_frontal.jpg - Prediction 0 - Time 6.762648582458496
Rank 0 - Image COVID-1912132020(98).jpg - Prediction 2 - Time 6.677552700042725
Rank 4 - Image patient08245-study1-view1_frontal.jpg - Prediction 1 - Time 8.58666729927063
Rank 2 - Image patient05238-study3-view1_frontal.jpg - Prediction 0 - Time 7.142119884490967
Rank 1 - Image E1724330-1866-4581-8CD8-CEC9B8AFEDDE.jpeg - Prediction 2 - Time 8.017295837402344
Rank 3 - Image patient00357-study1-view1_frontal.jpg - Prediction 0 - Time 6.6624369621276855
Rank 0 - Image COVID-19_02132021(31).jpg - Prediction 2 - Time 6.672586917877197
Rank 4 - Image patient04669-study1-view1_frontal.jpg - Prediction 0 - Time 7.66997504234314
Rank 2 - Image patient07392-study1-view1_frontal.jpg - Prediction 0 - Time 7.23241662979126
Rank 3 - Image patient04016-study1-view1_frontal.jpg - Prediction 0 - Time 6.688061714172363
Rank 1 - Image post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day6-2.jpg - Prediction 2 - Time 9.097980499267578
Rank 0 - Image COVID-1912132020(77).jpg - Prediction 2 - Time 6.831144094467163
Rank 4 - Image patient00528-study1-view1_frontal.jpg - Prediction 1 - Time 7.459306478500366
Rank 3 - Image patient07740-study2-view1_frontal.jpg - Prediction 2 - Time 6.578554153442383
