Wed Dec  8 09:11:49 2021       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   29C    P0    26W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 8 - Image 3db7e979-5f97-4985-bf0c-cdea7951e246.png - Prediction 1 - Time 23.510015964508057
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction 2 - Time 24.139606714248657
Rank 2 - Image MIDRC-RICORD-1C-419639-000025-90087-1.png - Prediction 2 - Time 24.22880458831787
Rank 3 - Image MIDRC-RICORD-1C-419639-001782-15190-0.png - Prediction 2 - Time 24.630849599838257
Rank 4 - Image MIDRC-RICORD-1C-419639-001374-75990-0.png - Prediction 2 - Time 23.74475646018982
Rank 6 - Image 45dd0d26-0740-4c32-bd01-34246a41f3e3.png - Prediction 0 - Time 24.478174924850464
Rank 7 - Image c21157da-1f74-4966-ba4e-c144d8f5da2d.png - Prediction 1 - Time 24.78679323196411
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000182-35476-0.png - Prediction 2 - Time 29.384246587753296
Rank 8 - Image e2e89418-6c0e-4f50-a2d9-6cd5e58feef0.png - Prediction 1 - Time 19.52976703643799
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000279-56879-0.png - Prediction 2 - Time 19.644161462783813
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction 2 - Time 20.65261745452881
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000136-21646-0.png - Prediction 2 - Time 21.1130428314209
Rank 5 - Image e8485b0f-293d-4ca8-8b71-92db61c8ee3e.png - Prediction 0 - Time 25.470502376556396
Rank 6 - Image ad446933-fb8e-4739-bb40-2063e796ffd8.png - Prediction 0 - Time 19.90122699737549
Rank 4 - Image MIDRC-RICORD-1C-419639-003336-50845-0.png - Prediction 2 - Time 20.87939977645874
Rank 7 - Image 5acc56a4-1b6e-4394-9364-9772047d583f.png - Prediction 1 - Time 20.581852912902832
Rank 8 - Image 393b8e45-6d97-4013-8100-27ebf07a1dad.png - Prediction 1 - Time 19.095003366470337
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000067-11643-0.png - Prediction 2 - Time 19.960367679595947
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction 2 - Time 20.280495643615723
Rank 1 - Image MIDRC-RICORD-1C-419639-000025-17477-0.png - Prediction 2 - Time 24.602509021759033
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000153-84142-0.png - Prediction 2 - Time 21.283724308013916
Rank 5 - Image 35cda03a-0898-4f8b-92d3-6f263aed23ff.png - Prediction 0 - Time 20.5226891040802
Rank 4 - Image MIDRC-RICORD-1C-419639-002929-69159-0.png - Prediction 2 - Time 19.94401741027832
Rank 6 - Image 5b12801f-aaf7-442e-b994-ec8f15ce78e5.png - Prediction 0 - Time 20.31367540359497
Rank 7 - Image dd4d6a4c-1e67-4911-bda2-7d8af75b1b19.png - Prediction 1 - Time 20.137465953826904
Rank 8 - Image 2348e8ba-483f-476d-b29d-5ba8398d7abc.png - Prediction 1 - Time 21.27620577812195
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000015-91071-0.png - Prediction 2 - Time 21.22324848175049
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction 2 - Time 20.877021074295044
Rank 5 - Image d82e5841-2f43-4eab-ac17-e98a2d90c51b.png - Prediction 0 - Time 19.88672971725464
Rank 2 - Image MIDRC-RICORD-1C-419639-003216-61144-0.png - Prediction 2 - Time 21.028194904327393
Rank 1 - Image MIDRC-RICORD-1C-419639-002528-57471-0.png - Prediction 2 - Time 23.57172393798828
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000120-98054-0.png - Prediction 2 - Time 20.488590717315674
Rank 6 - Image 3fe1550e-8bcb-4732-a343-725acce70531.png - Prediction 0 - Time 20.893779754638672
Rank 7 - Image f0ba0019-718f-4677-a723-05c27dba2f3e.png - Prediction 1 - Time 20.755887985229492
Rank 8 - Image aef87dc2-a097-4683-9fb1-d1af6838a16a.png - Prediction 0 - Time 19.269618272781372
Rank 3 - Image MIDRC-RICORD-1C-440808-000016-8.281-0.png - Prediction 0 - Time 20.02558183670044
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction 2 - Time 19.598443031311035
Rank 2 - Image MIDRC-RICORD-1C-419639-001464-60601-0.png - Prediction 2 - Time 20.058552503585815
Rank 5 - Image af1d168c-4850-41e1-85b8-ff8fc645e671.png - Prediction 0 - Time 20.670085906982422
Rank 1 - Image MIDRC-RICORD-1C-419639-001932-82193-0.png - Prediction 2 - Time 24.665892839431763
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000127-30661-0.png - Prediction 2 - Time 19.05156898498535
Rank 6 - Image 0bb24183-8b59-48f1-8bbf-4d889976fc82.png - Prediction 0 - Time 20.073812246322632
Rank 7 - Image cc3177c8-6570-497c-aef3-6fbddef692f6.png - Prediction 1 - Time 19.839268684387207
Rank 8 - Image afe1b6e2-203e-4ee5-856a-2f205d8bca2a.png - Prediction 1 - Time 19.21837091445923
Rank 3 - Image MIDRC-RICORD-1C-419639-001829-30276-0.png - Prediction 2 - Time 20.242295742034912
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction 2 - Time 20.510541915893555
Rank 5 - Image 585f5059-8938-4885-accb-d7d0b1097c60.png - Prediction 0 - Time 20.2321560382843
Rank 2 - Image MIDRC-RICORD-1C-419639-003380-99227-0.png - Prediction 2 - Time 20.499273538589478
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000206-25871-0.png - Prediction 2 - Time 20.136550188064575
Rank 7 - Image 0e03c2d7-9cea-4dc7-8e91-794a8b3ff58d.png - Prediction 1 - Time 20.113823890686035
Rank 6 - Image 02e4191e-fb03-4581-914c-f0438a17e53e.png - Prediction 0 - Time 21.06981086730957
Rank 1 - Image MIDRC-RICORD-1C-419639-000002-10161-0.png - Prediction 2 - Time 23.876163959503174
Rank 8 - Image 3d070009-c877-4ed4-ac80-53781cb30fef.png - Prediction 1 - Time 19.29862904548645
Rank 3 - Image MIDRC-RICORD-1C-419639-000025-53641-0.png - Prediction 2 - Time 21.050471544265747
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction 2 - Time 20.84766173362732
Rank 5 - Image 5d4c7318-4739-4470-89f3-70bbbca95f10.png - Prediction 0 - Time 20.170186281204224
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000272-41527-0.png - Prediction 2 - Time 20.8178973197937
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000141-46899-0.png - Prediction 2 - Time 20.16524338722229
Rank 7 - Image 070c921f-171c-420c-915b-e49e3f600c38.png - Prediction 1 - Time 20.89153504371643
Rank 6 - Image a8dfd068-69e9-4486-bb22-2a04f2f2e1a5.png - Prediction 0 - Time 21.351497411727905
Rank 1 - Image MIDRC-RICORD-1C-419639-001464-72163-0.png - Prediction 2 - Time 23.95146679878235
Rank 8 - Image 34fbff70-fa6e-4709-ab07-17f739fce394.png - Prediction 1 - Time 20.551252841949463
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction 0 - Time 20.21347165107727
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000124-65701-0.png - Prediction 2 - Time 20.484827280044556
Rank 5 - Image d3ad2915-af30-426c-ad2d-1634df8c1b5f.png - Prediction 0 - Time 20.263962268829346
Rank 2 - Image MIDRC-RICORD-1C-419639-003338-57135-0.png - Prediction 2 - Time 20.07914662361145
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000203-08712-0.png - Prediction 2 - Time 20.183387517929077
Rank 7 - Image caa545b4-4eea-4e3a-90b1-c4c0789a1109.png - Prediction 1 - Time 20.306675910949707
Rank 6 - Image 63f71157-7db6-476f-b320-ba2fcbe2543f.png - Prediction 0 - Time 20.5713472366333
Rank 8 - Image 2c68016e-5a63-4430-a834-efe5d43edd0e.png - Prediction 1 - Time 20.108325958251953
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000239-21655-0.png - Prediction 2 - Time 24.622795343399048
Rank 3 - Image MIDRC-RICORD-1C-419639-001464-85049-0.png - Prediction 2 - Time 20.01664900779724
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction 2 - Time 20.280318021774292
Rank 5 - Image dee054ff-0e1a-4167-b814-cbf339cf689c.png - Prediction 0 - Time 20.058619022369385
Rank 2 - Image MIDRC-RICORD-1C-419639-003060-04928-0.png - Prediction 2 - Time 20.092246532440186
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000045-76077-0.png - Prediction 2 - Time 20.206403255462646
Rank 7 - Image 7817b551-d220-479b-815f-395f83e1dba1.png - Prediction 1 - Time 19.83252215385437
Rank 6 - Image 1cdba4ee-0bb8-421d-9a24-7febeb399729.png - Prediction 0 - Time 20.262623071670532
Rank 8 - Image 8ae822ae-a656-47ba-ac5b-848ce2256575.png - Prediction 1 - Time 20.930171728134155
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction 2 - Time 20.944451093673706
Rank 3 - Image MIDRC-RICORD-1C-419639-000025-90087-0.png - Prediction 2 - Time 21.491941213607788
Rank 5 - Image bb068d57-86a8-4347-bee0-e29d59ddef6b.png - Prediction 0 - Time 20.458354949951172
Rank 2 - Image MIDRC-RICORD-1C-419639-002889-42412-0.png - Prediction 2 - Time 20.980860948562622
Rank 1 - Image MIDRC-RICORD-1C-419639-003371-97350-0.png - Prediction 2 - Time 24.923614740371704
Rank 4 - Image MIDRC-RICORD-1C-SITE2-000162-64489-0.png - Prediction 2 - Time 21.298739433288574
Rank 7 - Image f743c21e-5876-460b-bbd6-2e2dcca41baa.png - Prediction 1 - Time 20.256975650787354
Rank 6 - Image e1d23cbe-213d-48d6-a8c2-672c4e68285d.png - Prediction 0 - Time 20.656869411468506
Rank 8 - Image f661fe70-2fc1-4564-9f53-45504c0b0688.png - Prediction 1 - Time 20.61710500717163
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000098-66227-0.png - Prediction 2 - Time 19.684377431869507
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000018-55212-0.png - Prediction 2 - Time 20.48976230621338
Rank 5 - Image 354c3756-43ed-4921-adf8-60be49a8b7e8.png - Prediction 0 - Time 21.105509996414185
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000106-15732-0.png - Prediction 2 - Time 20.55856704711914
Rank 1 - Image MIDRC-RICORD-1C-419639-000432-86017-0.png - Prediction 2 - Time 24.552019357681274
Rank 4 - Image MIDRC-RICORD-1C-419639-001505-21193-0.png - Prediction 2 - Time 20.57265067100525
Rank 7 - Image e1d5a233-39ca-41dc-a289-b07c3e78cdb1.png - Prediction 1 - Time 20.418368101119995
Rank 6 - Image 4b1cab8a-c9bd-40e6-bc86-23c6be98a099.png - Prediction 0 - Time 19.231356382369995
Rank 8 - Image 78c33a1a-8f22-476c-ae97-8190192102df.png - Prediction 1 - Time 19.906540870666504
Rank 3 - Image MIDRC-RICORD-1C-SITE2-000188-54382-0.png - Prediction 2 - Time 20.872475624084473
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-50888-0.png - Prediction 2 - Time 21.007281064987183
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000297-71173-1.png - Prediction 2 - Time 20.24086594581604
Rank 5 - Image b8dd7d32-b177-4d1e-982f-6f0a743828fa.png - Prediction 0 - Time 20.86792278289795
