Sat Jan 15 15:23:22 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   37C    P0    41W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 0 - Image COVID-19_02132021(8).jpg - Prediction 0 - Time 11.205621242523193
Rank 4 - Image patient08716-study1-view1_frontal.jpg - Prediction 2 - Time 11.77344560623169
Rank 1 - Image NoFinding-patient27977-study1-view1_frontal.jpg - Prediction 1 - Time 12.082382678985596
Rank 5 - Image patient08758-study1-view1_frontal.jpg - Prediction 2 - Time 17.13536787033081
Rank 1 - Image NoFinding-patient13737-study1-view1_frontal.jpg - Prediction 2 - Time 6.92707633972168
Rank 4 - Image patient06797-study1-view1_frontal.jpg - Prediction 2 - Time 7.580685377120972
Rank 0 - Image COVID-19_02132021(10).jpg - Prediction 2 - Time 9.068214654922485
Rank 5 - Image patient00640-study1-view1_frontal.jpg - Prediction 0 - Time 8.557153701782227
Rank 4 - Image patient07667-study1-view1_frontal.jpg - Prediction 0 - Time 6.8289124965667725
Rank 1 - Image NoFinding-patient20328-study1-view1_frontal.jpg - Prediction 2 - Time 7.2018232345581055
Rank 0 - Image COVID-19_02132021(47).jpg - Prediction 2 - Time 7.26676344871521
Rank 4 - Image patient05756-study4-view1_frontal.jpg - Prediction 2 - Time 6.735499620437622
Rank 1 - Image NoFinding-patient50050-study1-view1_frontal.jpg - Prediction 0 - Time 7.187683820724487
Rank 5 - Image patient04374-study1-view1_frontal.jpg - Prediction 1 - Time 7.893903970718384
Rank 2 - Image patient05150-study1-view1_frontal.jpg - Prediction 0 - Time 11.216768026351929
Rank 0 - Image covid-19-pneumonia-22-day2-pa.png - Prediction 2 - Time 6.72406005859375
Rank 3 - Image patient08978-study1-view1_frontal.jpg - Prediction 2 - Time 13.251139879226685
Rank 4 - Image patient02294-study1-view1_frontal.jpg - Prediction 2 - Time 6.7361485958099365
Rank 1 - Image NoFinding-patient20243-study1-view1_frontal.jpg - Prediction 0 - Time 7.043740749359131
Rank 0 - Image 8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg - Prediction 0 - Time 6.711166143417358
Rank 5 - Image patient09132-study1-view1_frontal.jpg - Prediction 0 - Time 8.083928108215332
Rank 3 - Image patient03928-study1-view1_frontal.jpg - Prediction 0 - Time 6.693570613861084
Rank 2 - Image patient00239-study1-view1_frontal.jpg - Prediction 2 - Time 8.967261552810669
Rank 4 - Image patient05707-study1-view1_frontal.jpg - Prediction 2 - Time 6.684309720993042
Rank 1 - Image NoFinding-patient61693-study1-view1_frontal.jpg - Prediction 2 - Time 6.872431755065918
Rank 0 - Image COVID-19_02132021(18).jpg - Prediction 1 - Time 7.957460641860962
Rank 3 - Image patient06820-study2-view1_frontal.jpg - Prediction 2 - Time 6.595203161239624
Rank 2 - Image patient04097-study1-view1_frontal.jpg - Prediction 0 - Time 7.714369297027588
Rank 5 - Image patient03230-study10-view1_frontal.jpg - Prediction 2 - Time 9.269286632537842
Rank 4 - Image patient05854-study2-view1_frontal.jpg - Prediction 0 - Time 6.692643880844116
Rank 1 - Image NoFinding-patient02123-study4-view1_frontal.jpg - Prediction 1 - Time 7.852068662643433
Rank 0 - Image extubation-8.jpg - Prediction 2 - Time 7.781708240509033
Rank 3 - Image patient01495-study1-view1_frontal.jpg - Prediction 0 - Time 7.929120302200317
Rank 2 - Image patient05167-study1-view1_frontal.jpg - Prediction 1 - Time 6.880348443984985
Rank 4 - Image patient07780-study4-view1_frontal.jpg - Prediction 2 - Time 6.628878116607666
Rank 5 - Image patient00677-study1-view1_frontal.jpg - Prediction 0 - Time 8.99815320968628
Rank 1 - Image NoFinding-patient19725-study1-view1_frontal.jpg - Prediction 2 - Time 7.229487657546997
Rank 2 - Image patient02281-study1-view1_frontal.jpg - Prediction 2 - Time 6.665890693664551
Rank 0 - Image figure1-5e7c1b8d98c29ab001275405-98.jpeg - Prediction 2 - Time 7.962881565093994
Rank 3 - Image patient04624-study1-view1_frontal.jpg - Prediction 0 - Time 8.330493688583374
Rank 4 - Image patient03490-study1-view1_frontal.jpg - Prediction 2 - Time 6.744823455810547
Rank 5 - Image patient03113-study1-view1_frontal.jpg - Prediction 2 - Time 9.016017198562622
Rank 1 - Image NoFinding-patient01617-study2-view1_frontal.jpg - Prediction 2 - Time 8.100362539291382
Rank 2 - Image patient02878-study4-view1_frontal.jpg - Prediction 2 - Time 6.684082269668579
Rank 0 - Image COVID-19_02132021(34).jpg - Prediction 1 - Time 7.330180644989014
Rank 3 - Image patient02946-study6-view1_frontal.jpg - Prediction 1 - Time 6.6247711181640625
Rank 4 - Image patient03995-study1-view1_frontal.jpg - Prediction 0 - Time 6.567836284637451
Rank 2 - Image patient08378-study1-view1_frontal.jpg - Prediction 0 - Time 6.695479393005371
Rank 5 - Image patient05842-study1-view1_frontal.jpg - Prediction 2 - Time 8.858943939208984
Rank 1 - Image NoFinding-patient54222-study2-view1_frontal.jpg - Prediction 0 - Time 7.641904354095459
Rank 4 - Image patient06621-study1-view1_frontal.jpg - Prediction 2 - Time 6.644356966018677
Rank 3 - Image patient03579-study4-view1_frontal.jpg - Prediction 0 - Time 7.924797058105469
Rank 0 - Image 31BA3780-2323-493F-8AED-62081B9C383B.jpeg - Prediction 2 - Time 8.736868858337402
Rank 2 - Image patient08297-study1-view1_frontal.jpg - Prediction 0 - Time 6.552850246429443
Rank 1 - Image NoFinding-patient30518-study1-view1_frontal.jpg - Prediction 2 - Time 7.855076551437378
Rank 4 - Image patient00242-study1-view1_frontal.jpg - Prediction 0 - Time 6.603618860244751
Rank 5 - Image patient05547-study1-view1_frontal.jpg - Prediction 2 - Time 8.43583631515503
Rank 3 - Image patient02500-study1-view1_frontal.jpg - Prediction 0 - Time 6.677012205123901
Rank 0 - Image COVID-1912132020(95).jpg - Prediction 2 - Time 8.6158926486969
Rank 2 - Image patient02337-study1-view1_frontal.jpg - Prediction 2 - Time 6.70361852645874
Rank 4 - Image patient04454-study5-view1_frontal.jpg - Prediction 0 - Time 6.615791082382202
Rank 1 - Image NoFinding-patient20339-study12-view1_frontal.jpg - Prediction 1 - Time 7.962477445602417
Rank 5 - Image patient07214-study6-view1_frontal.jpg - Prediction 2 - Time 8.434775114059448
Rank 3 - Image patient02559-study1-view1_frontal.jpg - Prediction 0 - Time 9.054792881011963
Rank 0 - Image COVID-1912132020(57).jpg - Prediction 2 - Time 8.1100435256958
Rank 2 - Image patient06076-study1-view1_frontal.jpg - Prediction 2 - Time 7.915034770965576
Rank 4 - Image patient01358-study1-view1_frontal.jpg - Prediction 0 - Time 6.664815664291382
Rank 1 - Image NoFinding-patient53508-study2-view1_frontal.jpg - Prediction 2 - Time 7.433202028274536
Rank 3 - Image patient05834-study2-view1_frontal.jpg - Prediction 2 - Time 6.601249694824219
Rank 5 - Image patient07101-study2-view1_frontal.jpg - Prediction 0 - Time 8.974294185638428
Rank 0 - Image COVID-19_02132021(22).jpg - Prediction 2 - Time 8.145948648452759
Rank 4 - Image patient07318-study2-view1_frontal.jpg - Prediction 0 - Time 6.659804582595825
Rank 2 - Image patient07208-study2-view1_frontal.jpg - Prediction 0 - Time 7.875406265258789
Rank 1 - Image NoFinding-patient06547-study1-view1_frontal.jpg - Prediction 2 - Time 8.064879655838013
Rank 3 - Image patient08354-study1-view1_frontal.jpg - Prediction 2 - Time 8.055084943771362
Rank 5 - Image patient01734-study1-view1_frontal.jpg - Prediction 0 - Time 8.769147634506226
Rank 4 - Image patient04644-study1-view1_frontal.jpg - Prediction 0 - Time 6.562681436538696
Rank 0 - Image 4-x-day4.jpg - Prediction 2 - Time 7.452601194381714
Rank 2 - Image patient03296-study4-view1_frontal.jpg - Prediction 2 - Time 7.790222883224487
Rank 3 - Image patient02896-study3-view1_frontal.jpg - Prediction 0 - Time 6.548900127410889
Rank 1 - Image NoFinding-patient37597-study4-view1_frontal.jpg - Prediction 1 - Time 7.988064527511597
Rank 4 - Image patient00800-study1-view1_frontal.jpg - Prediction 0 - Time 6.715530872344971
Rank 5 - Image patient04950-study4-view1_frontal.jpg - Prediction 0 - Time 8.685617923736572
Rank 0 - Image COVID-19_02132021(4).jpg - Prediction 0 - Time 8.058452844619751
Rank 2 - Image patient01938-study1-view1_frontal.jpg - Prediction 0 - Time 7.063091039657593
Rank 3 - Image patient04697-study1-view1_frontal.jpg - Prediction 2 - Time 7.753036737442017
Rank 1 - Image NoFinding-patient07433-study1-view1_frontal.jpg - Prediction 2 - Time 7.926944732666016
Rank 4 - Image patient07096-study1-view1_frontal.jpg - Prediction 0 - Time 6.586227893829346
Rank 0 - Image COVID-19_02132021(43).jpg - Prediction 2 - Time 8.108188152313232
Rank 5 - Image patient00107-study1-view1_frontal.jpg - Prediction 0 - Time 9.3109712600708
Rank 2 - Image patient01516-study8-view2_frontal.jpg - Prediction 2 - Time 8.896320104598999
Rank 3 - Image patient02199-study1-view1_frontal.jpg - Prediction 0 - Time 7.973959445953369
Rank 4 - Image patient00505-study1-view1_frontal.jpg - Prediction 0 - Time 7.6886887550354
Rank 1 - Image NoFinding-patient22116-study1-view1_frontal.jpg - Prediction 0 - Time 9.549928426742554
Rank 0 - Image covid-19-pneumonia-7-PA.jpg - Prediction 2 - Time 7.515225410461426
Rank 5 - Image patient07991-study1-view1_frontal.jpg - Prediction 2 - Time 8.084723472595215
Rank 2 - Image patient00701-study6-view1_frontal.jpg - Prediction 1 - Time 8.268524169921875
Rank 4 - Image patient08387-study1-view1_frontal.jpg - Prediction 0 - Time 6.651352405548096
Rank 3 - Image patient02455-study2-view1_frontal.jpg - Prediction 1 - Time 7.450999736785889
Rank 1 - Image NoFinding-patient04692-study1-view1_frontal.jpg - Prediction 2 - Time 7.597665309906006
Rank 0 - Image 67d668e570c242404ba82c7cbe2ca8f2-05be-0.jpg - Prediction 2 - Time 7.700829029083252
Rank 2 - Image patient08118-study1-view1_frontal.jpg - Prediction 0 - Time 7.804571866989136
Rank 4 - Image patient02452-study1-view1_frontal.jpg - Prediction 2 - Time 6.611917495727539
Rank 5 - Image patient09000-study1-view1_frontal.jpg - Prediction 0 - Time 8.906061172485352
Rank 3 - Image patient02220-study2-view1_frontal.jpg - Prediction 0 - Time 8.039988994598389
Rank 1 - Image NoFinding-patient61743-study1-view1_frontal.jpg - Prediction 0 - Time 8.240418434143066
Rank 0 - Image COVID-19_02132021(38).jpg - Prediction 1 - Time 7.044787883758545
Rank 4 - Image patient07179-study1-view1_frontal.jpg - Prediction 0 - Time 6.650564432144165
Rank 2 - Image patient07896-study1-view1_frontal.jpg - Prediction 2 - Time 8.153642892837524
Rank 3 - Image patient07485-study1-view1_frontal.jpg - Prediction 0 - Time 7.362645864486694
Rank 5 - Image patient04153-study5-view1_frontal.jpg - Prediction 2 - Time 8.802743434906006
Rank 1 - Image NoFinding-patient39420-study1-view1_frontal.jpg - Prediction 0 - Time 7.994290113449097
Rank 0 - Image COVID-1912132020(60).jpg - Prediction 0 - Time 8.034996509552002
Rank 4 - Image patient03911-study1-view1_frontal.jpg - Prediction 2 - Time 6.5677649974823
Rank 2 - Image patient07593-study1-view1_frontal.jpg - Prediction 2 - Time 7.44209623336792
Rank 3 - Image patient06575-study1-view1_frontal.jpg - Prediction 0 - Time 6.88748025894165
Rank 5 - Image patient04404-study1-view1_frontal.jpg - Prediction 2 - Time 8.457379341125488
Rank 1 - Image NoFinding-patient46679-study7-view1_frontal.jpg - Prediction 2 - Time 7.040759086608887
