Tue Jan 18 10:32:53 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 418.87.00    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   38C    P0    27W / 250W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Rank 1 - Image MIDRC-RICORD-1C-419639-003080-09097-0.png - Prediction 2 - Time 13.25269365310669
Rank 5 - Image b42eaeb8-b6d3-41d7-836c-56fd0922abf6.png - Prediction 1 - Time 15.472890615463257
Rank 4 - Image 45dd0d26-0740-4c32-bd01-34246a41f3e3.png - Prediction 0 - Time 16.879205226898193
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000230-35167-0.png - Prediction 2 - Time 8.98424506187439
Rank 5 - Image ae06b30f-ae30-40d3-b237-c934ce499774.png - Prediction 1 - Time 8.264203310012817
Rank 4 - Image ad446933-fb8e-4739-bb40-2063e796ffd8.png - Prediction 0 - Time 6.993797302246094
Rank 3 - Image 8989e25c-a698-48fc-b428-fff56931fc8f.png - Prediction 0 - Time 16.432580947875977
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000291-42841-0.png - Prediction 1 - Time 17.601998567581177
Rank 1 - Image MIDRC-RICORD-1C-419639-003365-72952-0.png - Prediction 2 - Time 8.373706817626953
Rank 4 - Image 5b12801f-aaf7-442e-b994-ec8f15ce78e5.png - Prediction 0 - Time 6.740053415298462
Rank 5 - Image f59ae80d-d98e-465f-963a-1064764211f8.png - Prediction 1 - Time 7.827605485916138
Rank 3 - Image 7fb3786c-5045-4a90-981d-c55b53d4d5d3.png - Prediction 0 - Time 7.710111856460571
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction 2 - Time 32.2036452293396
Rank 2 - Image MIDRC-RICORD-1C-419639-001782-15190-0.png - Prediction 2 - Time 7.628425121307373
Rank 4 - Image 3fe1550e-8bcb-4732-a343-725acce70531.png - Prediction 0 - Time 6.61137843132019
Rank 3 - Image 766b8aea-3b43-4a34-b675-09f373ca066b.png - Prediction 0 - Time 6.845804452896118
Rank 5 - Image 03a9498c-549d-4e7d-800b-e74797f7f625.png - Prediction 1 - Time 7.6103010177612305
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000208-34584-0.png - Prediction 2 - Time 9.114354848861694
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000279-56879-0.png - Prediction 1 - Time 6.982612371444702
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction 1 - Time 8.161871194839478
Rank 4 - Image 0bb24183-8b59-48f1-8bbf-4d889976fc82.png - Prediction 0 - Time 6.813760757446289
Rank 3 - Image f6236cb5-cc36-4ec4-895c-d11ce043341d.png - Prediction 0 - Time 6.815437078475952
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000067-11643-0.png - Prediction 2 - Time 6.845466375350952
Rank 5 - Image 080f2b35-fcd5-473e-864b-a7dea3054cc7.png - Prediction 1 - Time 7.451896905899048
Rank 1 - Image MIDRC-RICORD-1C-419639-001464-53024-0.png - Prediction 1 - Time 8.493250608444214
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction 2 - Time 8.419700860977173
Rank 4 - Image 02e4191e-fb03-4581-914c-f0438a17e53e.png - Prediction 0 - Time 6.535010814666748
Rank 3 - Image 153b7c2b-4909-4dca-8579-9523582bc4fe.png - Prediction 0 - Time 6.714380979537964
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000015-91071-0.png - Prediction 2 - Time 6.8037097454071045
Rank 5 - Image b479635e-4c58-4d27-879b-fb0e87b2a1aa.png - Prediction 1 - Time 8.784911870956421
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction 2 - Time 7.39527440071106
Rank 1 - Image MIDRC-RICORD-1C-419639-003157-67493-0.png - Prediction 2 - Time 8.12155532836914
Rank 4 - Image a8dfd068-69e9-4486-bb22-2a04f2f2e1a5.png - Prediction 0 - Time 6.7364232540130615
Rank 3 - Image 1afd6582-da9d-4e5a-a81f-62a188fe9366.png - Prediction 0 - Time 6.659650802612305
Rank 2 - Image MIDRC-RICORD-1C-440808-000016-8.281-0.png - Prediction 0 - Time 6.72753119468689
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction 0 - Time 6.84733510017395
Rank 5 - Image 86853bbd-5af2-4551-8273-f2978dffdd76.png - Prediction 1 - Time 7.961755752563477
Rank 4 - Image 63f71157-7db6-476f-b320-ba2fcbe2543f.png - Prediction 0 - Time 6.638835191726685
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000048-66689-0.png - Prediction 2 - Time 7.76965069770813
Rank 3 - Image 85bb48fe-e6d6-47de-bb71-d1636aced7dc.png - Prediction 0 - Time 6.6544647216796875
Rank 2 - Image MIDRC-RICORD-1C-419639-001829-30276-0.png - Prediction 2 - Time 6.855599880218506
Rank 5 - Image acb5c720-f741-415c-993c-65855be08ffa.png - Prediction 1 - Time 7.416223764419556
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction 2 - Time 7.964712142944336
Rank 4 - Image 1cdba4ee-0bb8-421d-9a24-7febeb399729.png - Prediction 0 - Time 7.08288836479187
Rank 1 - Image MIDRC-RICORD-1C-440808-000020-8.458-0.png - Prediction 2 - Time 7.724776744842529
Rank 3 - Image eaeb935a-7294-4dd3-8bf5-73ba781d28af.png - Prediction 0 - Time 6.628923654556274
Rank 2 - Image MIDRC-RICORD-1C-419639-000025-53641-0.png - Prediction 2 - Time 6.762772560119629
Rank 5 - Image 1414c7d6-dff3-453c-8322-b25bb5899d78.png - Prediction 1 - Time 7.828258514404297
Rank 3 - Image 5f137fa7-6539-499e-b0d5-0e481221bf5a.png - Prediction 1 - Time 6.672365665435791
Rank 4 - Image e1d23cbe-213d-48d6-a8c2-672c4e68285d.png - Prediction 1 - Time 7.796513795852661
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000034-76728-1.png - Prediction 2 - Time 7.27820348739624
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction 2 - Time 9.028187036514282
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000124-65701-0.png - Prediction 2 - Time 6.823173999786377
Rank 4 - Image 4b1cab8a-c9bd-40e6-bc86-23c6be98a099.png - Prediction 0 - Time 6.50036883354187
Rank 3 - Image b5234584-1487-492c-8742-444b9ca41c3d.png - Prediction 0 - Time 6.662657260894775
Rank 5 - Image c3a6ca22-c09b-4be0-a59d-e52718fbb645.png - Prediction 1 - Time 6.771444082260132
Rank 1 - Image MIDRC-RICORD-1C-419639-002784-76664-0.png - Prediction 0 - Time 6.941266298294067
Rank 2 - Image MIDRC-RICORD-1C-419639-001464-85049-0.png - Prediction 2 - Time 6.766386270523071
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction 0 - Time 8.423608541488647
Rank 3 - Image 71d8d6ec-253b-4272-a467-311828b2a35b.png - Prediction 0 - Time 6.68954610824585
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000014-81802-0.png - Prediction 2 - Time 7.222654819488525
Rank 2 - Image MIDRC-RICORD-1C-419639-000025-90087-0.png - Prediction 2 - Time 6.770654678344727
Rank 4 - Image ec0492da-e6be-49cf-8b18-dc143180f1a2.png - Prediction 0 - Time 8.877684593200684
Rank 5 - Image bfd795ae-7656-40fc-b44e-566515e52ed2.png - Prediction 1 - Time 8.890632629394531
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction 2 - Time 8.541442394256592
Rank 3 - Image 0103fadb-1663-40a6-8a9e-09d626cd2091.png - Prediction 0 - Time 6.698823928833008
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000068-39061-0.png - Prediction 2 - Time 7.527925968170166
Rank 4 - Image 89dd8f63-8320-48f3-b142-d903f40d5c8c.png - Prediction 0 - Time 6.604540109634399
Rank 5 - Image 098906c5-cf22-43d3-9f0d-90e88e602090.png - Prediction 1 - Time 7.668188810348511
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000098-66227-0.png - Prediction 2 - Time 8.006253242492676
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction 2 - Time 7.013369798660278
Rank 3 - Image e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png - Prediction 0 - Time 6.562656402587891
Rank 1 - Image MIDRC-RICORD-1C-419639-000025-84235-0.png - Prediction 2 - Time 7.054361343383789
Rank 4 - Image b76728e6-f44b-40bf-8688-e703d10d2039.png - Prediction 0 - Time 7.151366710662842
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000188-54382-0.png - Prediction 2 - Time 6.835824251174927
Rank 5 - Image b5714c0f-6d0f-4c56-833f-8b83f19e982a.png - Prediction 1 - Time 7.809786796569824
Rank 3 - Image 2f8fbfdc-56db-4eca-bf64-3c9a0637e28c.png - Prediction 0 - Time 6.680227041244507
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000018-55212-0.png - Prediction 2 - Time 8.971733093261719
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000001-16794-0.png - Prediction 2 - Time 7.6486592292785645
Rank 4 - Image d9884def-b31a-4861-9eea-27f97bffeba2.png - Prediction 0 - Time 7.783066272735596
Rank 2 - Image MIDRC-RICORD-1C-SITE2-000072-79474-0.png - Prediction 2 - Time 8.220577478408813
Rank 5 - Image 875b34e4-b58d-479f-954a-5b015071f448.png - Prediction 1 - Time 7.932954788208008
Rank 3 - Image bc46651a-1314-44af-a834-1eb8a36e589e.png - Prediction 0 - Time 6.679754972457886
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-50888-0.png - Prediction 2 - Time 8.23261570930481
Rank 4 - Image ffba6230-71cf-4287-a0d1-887f5d16e95d.png - Prediction 0 - Time 7.726207494735718
Rank 1 - Image MIDRC-RICORD-1C-419639-001571-15270-0.png - Prediction 2 - Time 8.389883279800415
Rank 3 - Image 71d25920-4060-4a31-b7aa-cfbf4721a5c5.png - Prediction 0 - Time 6.611926078796387
Rank 5 - Image 91e187a5-771d-4a83-9601-e22ed326bc8e.png - Prediction 1 - Time 7.811936855316162
Rank 2 - Image MIDRC-RICORD-1C-419639-001882-13628-0.png - Prediction 2 - Time 9.407951354980469
Rank 0 - Image MIDRC-RICORD-1C-419639-001288-10277-0.png - Prediction 2 - Time 7.823075294494629
Rank 1 - Image MIDRC-RICORD-1C-419639-001903-65209-0.png - Prediction 2 - Time 7.667799472808838
Rank 4 - Image f3b015ab-e337-4e7f-971d-eb7cc3dd4e92.png - Prediction 0 - Time 8.718604803085327
Rank 3 - Image ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png - Prediction 0 - Time 8.290638208389282
Rank 5 - Image 3abb7176-035d-46cc-844e-820870e8154b.png - Prediction 1 - Time 8.566842794418335
Rank 2 - Image MIDRC-RICORD-1C-419639-000402-60433-0.png - Prediction 0 - Time 8.428837060928345
Rank 0 - Image MIDRC-RICORD-1C-419639-002757-16718-0.png - Prediction 2 - Time 7.7293970584869385
Rank 1 - Image MIDRC-RICORD-1C-SITE2-000244-77429-0.png - Prediction 2 - Time 7.716802597045898
Rank 4 - Image bca4aa4d-0cc9-4cc0-b06d-5b675194bf62.png - Prediction 0 - Time 7.128952741622925
Rank 3 - Image dab2f334-331c-42c7-af09-a997092464b0.png - Prediction 0 - Time 7.032571077346802
Rank 5 - Image 3e4ee273-d5ca-4cf8-a75a-05772e0e12fe.png - Prediction 1 - Time 7.746596336364746
