Tue Feb 22 07:10:19 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.00    Driver Version: 470.57.02    CUDA Version: 11.4     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  On   | 00000000:AF:00.0 Off |                    0 |
| N/A   37C    P0    27W / 250W |      0MiB / 32510MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
[1645510222.086311] [dp-dam01:12206:0]          ib_md.c:1948 UCX  ERROR ibv_query_device(mlx5_0) returned 38: No space left on device
[1645510222.089922] [dp-dam01:12206:0]          ib_md.c:1948 UCX  ERROR ibv_query_device(mlx5_1) returned 38: No space left on device
Rank 0 - Image MIDRC-RICORD-1C-419639-003251-46647-0.png - Prediction 2 - Time 39.247878313064575
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-0.png - Prediction 1 - Time 6.134051561355591
Rank 0 - Image MIDRC-RICORD-1C-419639-000918-78965-0.png - Prediction 2 - Time 6.380929470062256
Rank 0 - Image MIDRC-RICORD-1C-419639-003318-64285-0.png - Prediction 2 - Time 6.66605019569397
Rank 0 - Image MIDRC-RICORD-1C-419639-001015-81591-0.png - Prediction 0 - Time 6.107113361358643
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000265-99793-1.png - Prediction 2 - Time 6.5534069538116455
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000159-61155-0.png - Prediction 2 - Time 5.992260932922363
Rank 0 - Image MIDRC-RICORD-1C-419639-003169-42019-0.png - Prediction 0 - Time 5.8935627937316895
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000238-25854-1.png - Prediction 2 - Time 6.000410318374634
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-33260-0.png - Prediction 2 - Time 5.912485122680664
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000018-55212-0.png - Prediction 2 - Time 6.008533239364624
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-50888-0.png - Prediction 2 - Time 5.8805437088012695
Rank 0 - Image MIDRC-RICORD-1C-419639-001288-10277-0.png - Prediction 2 - Time 5.877221584320068
Rank 0 - Image MIDRC-RICORD-1C-419639-002757-16718-0.png - Prediction 2 - Time 5.924966812133789
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000135-64564-1.png - Prediction 2 - Time 5.989457368850708
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000147-13199-0.png - Prediction 2 - Time 5.822835683822632
Rank 0 - Image MIDRC-RICORD-1C-419639-002601-92699-0.png - Prediction 2 - Time 5.842279672622681
Rank 0 - Image MIDRC-RICORD-1C-419639-002310-52924-0.png - Prediction 2 - Time 5.792221784591675
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000171-45676-0.png - Prediction 2 - Time 5.7447004318237305
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-56001-0.png - Prediction 2 - Time 5.817761659622192
Rank 0 - Image MIDRC-RICORD-1C-419639-003340-85716-0.png - Prediction 2 - Time 5.7570579051971436
Rank 0 - Image MIDRC-RICORD-1C-419639-003257-00787-0.png - Prediction 2 - Time 5.797991991043091
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000099-22857-0.png - Prediction 2 - Time 5.774243593215942
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000155-37671-0.png - Prediction 2 - Time 5.863478660583496
Rank 0 - Image MIDRC-RICORD-1C-419639-000235-89929-0.png - Prediction 0 - Time 5.799712181091309
Rank 0 - Image MIDRC-RICORD-1C-419639-002376-07504-0.png - Prediction 2 - Time 5.80888032913208
Rank 0 - Image MIDRC-RICORD-1C-419639-001433-28259-0.png - Prediction 0 - Time 5.7419116497039795
Rank 0 - Image MIDRC-RICORD-1C-419639-003116-57702-0.png - Prediction 2 - Time 5.8400633335113525
Rank 0 - Image MIDRC-RICORD-1C-419639-001629-03737-0.png - Prediction 0 - Time 5.757835388183594
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000211-85940-0.png - Prediction 2 - Time 5.789129257202148
Rank 0 - Image MIDRC-RICORD-1C-419639-003027-36839-0.png - Prediction 2 - Time 5.674952745437622
Rank 0 - Image MIDRC-RICORD-1C-419639-003021-81745-0.png - Prediction 2 - Time 5.647599220275879
Rank 0 - Image MIDRC-RICORD-1C-419639-003024-14703-0.png - Prediction 2 - Time 5.6043009757995605
Rank 0 - Image MIDRC-RICORD-1C-419639-002724-03387-0.png - Prediction 2 - Time 5.612742185592651
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-32013-0.png - Prediction 1 - Time 5.589719295501709
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000116-25889-1.png - Prediction 0 - Time 5.740041971206665
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000229-76177-0.png - Prediction 2 - Time 5.699140548706055
Rank 0 - Image MIDRC-RICORD-1C-419639-001222-46073-0.png - Prediction 1 - Time 5.661730766296387
Rank 0 - Image MIDRC-RICORD-1C-419639-003360-73998-0.png - Prediction 2 - Time 5.632558822631836
Rank 0 - Image MIDRC-RICORD-1C-419639-003334-51353-0.png - Prediction 2 - Time 5.699162483215332
Rank 0 - Image MIDRC-RICORD-1C-419639-000538-40522-0.png - Prediction 2 - Time 5.67085075378418
Rank 0 - Image MIDRC-RICORD-1C-419639-001735-74702-0.png - Prediction 2 - Time 5.669545650482178
Rank 0 - Image MIDRC-RICORD-1C-419639-000299-56159-0.png - Prediction 2 - Time 5.669692516326904
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000178-89752-0.png - Prediction 2 - Time 5.715322256088257
Rank 0 - Image MIDRC-RICORD-1C-419639-001287-60951-0.png - Prediction 2 - Time 5.623262405395508
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000182-35476-0.png - Prediction 2 - Time 5.7452263832092285
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-17477-0.png - Prediction 2 - Time 5.621087551116943
Rank 0 - Image MIDRC-RICORD-1C-419639-002528-57471-0.png - Prediction 1 - Time 5.623510360717773
Rank 0 - Image MIDRC-RICORD-1C-419639-001932-82193-0.png - Prediction 2 - Time 5.683999538421631
Rank 0 - Image MIDRC-RICORD-1C-419639-000002-10161-0.png - Prediction 2 - Time 5.619671583175659
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-72163-0.png - Prediction 1 - Time 5.617494821548462
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000239-21655-0.png - Prediction 2 - Time 5.5990002155303955
Rank 0 - Image MIDRC-RICORD-1C-419639-003371-97350-0.png - Prediction 2 - Time 5.70808482170105
Rank 0 - Image MIDRC-RICORD-1C-419639-000432-86017-0.png - Prediction 2 - Time 5.617520093917847
Rank 0 - Image MIDRC-RICORD-1C-419639-001007-89903-0.png - Prediction 2 - Time 5.697633266448975
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-39871-1.png - Prediction 2 - Time 5.614767789840698
Rank 0 - Image MIDRC-RICORD-1C-419639-002374-98411-0.png - Prediction 2 - Time 5.661339521408081
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000028-53390-0.png - Prediction 2 - Time 5.670712232589722
Rank 0 - Image MIDRC-RICORD-1C-419639-001070-42385-0.png - Prediction 2 - Time 5.699478626251221
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000283-41971-0.png - Prediction 2 - Time 5.689751863479614
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000023-20254-0.png - Prediction 2 - Time 5.6812615394592285
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000181-63935-0.png - Prediction 2 - Time 5.691791296005249
Rank 0 - Image MIDRC-RICORD-1C-419639-003105-50900-0.png - Prediction 0 - Time 5.681901693344116
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000185-39456-0.png - Prediction 2 - Time 5.613020181655884
Rank 0 - Image MIDRC-RICORD-1C-419639-003187-73922-0.png - Prediction 2 - Time 5.609380483627319
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000066-97290-0.png - Prediction 2 - Time 5.626277923583984
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000105-65881-0.png - Prediction 2 - Time 5.716496467590332
Rank 0 - Image MIDRC-RICORD-1C-419639-003080-09097-0.png - Prediction 2 - Time 5.5729591846466064
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000230-35167-0.png - Prediction 2 - Time 5.701361417770386
Rank 0 - Image MIDRC-RICORD-1C-419639-003365-72952-0.png - Prediction 2 - Time 5.568320035934448
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000208-34584-0.png - Prediction 2 - Time 5.65428900718689
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-53024-0.png - Prediction 1 - Time 5.609077215194702
Rank 0 - Image MIDRC-RICORD-1C-419639-003157-67493-0.png - Prediction 2 - Time 5.611560344696045
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000048-66689-0.png - Prediction 2 - Time 5.792120456695557
Rank 0 - Image MIDRC-RICORD-1C-440808-000020-8.458-0.png - Prediction 2 - Time 5.647398233413696
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000034-76728-1.png - Prediction 2 - Time 5.630735635757446
Rank 0 - Image MIDRC-RICORD-1C-419639-002784-76664-0.png - Prediction 0 - Time 5.573633670806885
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000014-81802-0.png - Prediction 2 - Time 5.683617830276489
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000068-39061-0.png - Prediction 2 - Time 5.659990072250366
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-84235-0.png - Prediction 2 - Time 5.663346767425537
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000001-16794-0.png - Prediction 2 - Time 5.708593368530273
Rank 0 - Image MIDRC-RICORD-1C-419639-001571-15270-0.png - Prediction 2 - Time 5.682391405105591
Rank 0 - Image MIDRC-RICORD-1C-419639-001903-65209-0.png - Prediction 2 - Time 5.6211700439453125
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000244-77429-0.png - Prediction 2 - Time 5.701441526412964
Rank 0 - Image MIDRC-RICORD-1C-419639-000582-21506-0.png - Prediction 2 - Time 5.620696067810059
Rank 0 - Image MIDRC-RICORD-1C-419639-002088-09388-0.png - Prediction 2 - Time 5.687853574752808
Rank 0 - Image MIDRC-RICORD-1C-419639-002050-25234-0.png - Prediction 2 - Time 5.60186767578125
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000235-44451-0.png - Prediction 2 - Time 5.696378231048584
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000202-80939-0.png - Prediction 2 - Time 5.5388100147247314
Rank 0 - Image MIDRC-RICORD-1C-419639-003203-21209-0.png - Prediction 2 - Time 5.601995229721069
Rank 0 - Image MIDRC-RICORD-1C-419639-000025-90087-1.png - Prediction 2 - Time 5.57384467124939
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000136-21646-0.png - Prediction 2 - Time 5.719738960266113
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000153-84142-0.png - Prediction 2 - Time 5.617076635360718
Rank 0 - Image MIDRC-RICORD-1C-419639-003216-61144-0.png - Prediction 2 - Time 5.597899913787842
Rank 0 - Image MIDRC-RICORD-1C-419639-001464-60601-0.png - Prediction 2 - Time 5.591978311538696
Rank 0 - Image MIDRC-RICORD-1C-419639-003380-99227-0.png - Prediction 0 - Time 5.633501052856445
Rank 0 - Image MIDRC-RICORD-1C-SITE2-000272-41527-0.png - Prediction 2 - Time 5.572904109954834
Rank 0 - Image MIDRC-RICORD-1C-419639-003338-57135-0.png - Prediction 2 - Time 5.598591327667236
Rank 0 - Image MIDRC-RICORD-1C-419639-003060-04928-0.png - Prediction 2 - Time 5.55634069442749
